Gene	Resolved_Isoform
LOC412133	XP_006569041.1
LOC412141	XP_395605.3
LOC412143	XP_395607.5
LOC412148	XP_006559305.1
LOC412149	XP_395613.3
LOC412150	XP_395614.3
LOC412154	XP_395618.4
LOC412155	XP_395619.4
LOC412157	XP_026300004.1
LOC412158	XP_624867.2
LOC412159	XP_006559764.1
LOC412160	XP_395623.2
LOC412161	XP_016769067.2
LOC412162	XP_026297532.1
LOC412163	XP_016772139.1
LOC412164	XP_395627.4
LOC412166	XP_026295893.1
LOC412167	XP_006563151.1
LOC412169	XP_395632.3
LOC412170	XP_395633.4
LOC412172	XP_006566350.1
LOC412174	XP_006569709.2
LOC412175	XP_395638.3
LOC412176	XP_026297442.1
LOC412177	XP_395640.3
LOC412180	XP_395643.2
LOC412187	XP_016772600.1
LOC412189	XP_395652.1
LOC412190	XP_395653.2
LOC412191	XP_395654.5
LOC412192	XP_395655.4
LOC412193	XP_026297099.1
LOC412194	XP_026297139.1
LOC412195	XP_016773418.1
LOC412196	XP_395658.5
LOC412197	XP_395659.1
LOC412198	XP_016769783.2
LOC412199	XP_395661.4
LOC412200	XP_006559719.1
LOC412203	XP_395665.6
LOC412205	XP_395667.3
LOC412209	XP_395671.3
LOC412212	XP_006563283.2
LOC412215	XP_006563373.1
LOC412217	XP_006558751.1
LOC412219	XP_006566703.1
LOC412220	XP_006571698.1
LOC412221	XP_006560659.1
LOC412222	XP_026299562.1
LOC412224	XP_395686.2
LOC412227	XP_395689.6
LOC412230	XP_026301167.1
LOC412231	XP_623497.2
LOC412232	XP_395694.2
LOC412233	XP_026299206.1
LOC412234	XP_395696.2
LOC412235	XP_395697.2
LOC412236	XP_006557490.2
LOC412240	XP_395702.3
LOC412243	XP_026295205.1
LOC412245	XP_006572082.1
LOC412247	XP_006563365.1
LOC412249	XP_395711.5
LOC412251	XP_006563441.2
LOC412254	XP_395716.4
LOC412256	XP_026295305.1
LOC412259	XP_016768584.2
LOC412260	XP_026300088.1
LOC412262	XP_395724.2
LOC412263	XP_006571775.2
LOC412265	XP_006568026.2
LOC412266	XP_003251156.1
LOC412267	XP_395729.3
LOC412268	XP_003251828.1
LOC412271	XP_395732.3
LOC412272	XP_016769681.2
LOC412273	XP_026299806.1
LOC412274	XP_006559220.1
LOC412276	XP_006561749.1
LOC412277	XP_016770754.2
LOC412278	XP_006572241.1
LOC412279	XP_016768233.1
LOC412281	XP_006572335.2
LOC412282	XP_395743.3
LOC412284	XP_016769252.1
LOC412286	XP_006567671.1
LOC412287	XP_395748.2
LOC412288	XP_016769042.2
LOC412289	XP_006567399.1
LOC412291	XP_395752.2
LOC412293	XP_006562156.1
LOC412294	XP_395755.2
LOC412295	XP_003249303.1
LOC412296	XP_395757.3
LOC412299	XP_395760.4
LOC412301	XP_006564907.1
LOC412302	XP_006562862.1
LOC412303	XP_006569984.1
LOC412305	XP_395766.4
LOC412306	XP_395767.4
LOC412308	XP_006559671.1
LOC412309	XP_395770.1
LOC412310	XP_395771.3
LOC412313	XP_016771895.1
LOC412314	XP_016773511.1
LOC412315	XP_395776.1
LOC412316	XP_016772943.1
LOC412318	XP_395779.3
LOC412319	XP_006561978.1
LOC412320	XP_395781.2
LOC412323	XP_395784.2
LOC412326	XP_006562338.1
LOC412328	XP_395789.1
LOC412330	XP_006564781.1
LOC412331	XP_395792.4
LOC412332	XP_026297386.1
LOC412339	XP_026297233.1
LOC412341	XP_395802.1
LOC412342	XP_003249557.1
LOC412343	XP_395804.2
LOC412345	XP_003249381.1
LOC412346	XP_395807.2
LOC412348	XP_016770813.1
LOC412349	XP_395810.4
LOC412350	XP_395811.2
LOC412351	XP_395812.4
LOC412353	XP_016770898.2
LOC412354	XP_016770882.2
LOC412355	XP_026299258.1
LOC412357	XP_006561423.1
LOC412360	XP_016768411.1
LOC412361	XP_026297176.1
LOC412362	XP_026297163.1
LOC412363	XP_395824.1
LOC412366	XP_395826.2
LOC412367	XP_395827.2
LOC412371	XP_016768556.2
LOC412372	XP_026297510.1
LOC412375	XP_395833.4
LOC412377	XP_395835.2
LOC412378	XP_006567967.1
LOC412379	XP_006557809.1
LOC412381	XP_395839.1
LOC412382	XP_395840.2
LOC412384	XP_006571528.1
LOC412386	XP_395844.3
LOC412388	XP_623701.2
LOC412391	XP_016769208.1
LOC412393	XP_395851.2
LOC412394	XP_016772826.1
LOC412396	XP_006572317.1
LOC412397	XP_623089.2
LOC412398	XP_016769259.1
LOC412399	XP_026300136.1
LOC412401	XP_026296468.1
LOC412406	XP_006571452.1
LOC412407	XP_395864.3
LOC412408	XP_395865.5
LOC412409	XP_395866.2
LOC412410	XP_006568203.1
LOC412412	XP_026302081.1
LOC412414	XP_006566542.1
LOC412416	XP_395873.4
LOC412419	XP_016766857.1
LOC412422	XP_395879.4
LOC412423	XP_395880.4
LOC412424	XP_006559341.1
LOC412426	XP_026296830.1
LOC412430	XP_006558342.1
LOC412431	XP_006562424.1
LOC412432	XP_026295499.1
LOC412435	XP_395892.2
LOC412436	XP_016771977.1
LOC412439	XP_016768833.2
LOC412442	XP_395899.2
LOC412443	XP_006557288.1
LOC412444	XP_006558948.1
LOC412445	XP_395902.2
LOC412446	XP_395903.3
LOC412448	XP_395905.2
LOC412449	XP_395906.3
LOC412451	XP_026299010.1
LOC412452	XP_006559330.1
LOC412453	XP_395910.3
LOC412454	XP_026297790.1
LOC412455	XP_026301494.1
LOC412456	XP_395913.3
LOC412457	XP_006567213.1
LOC412458	XP_026299083.1
LOC412459	XP_006559791.2
LOC412460	XP_006565218.1
LOC412464	XP_395921.4
LOC412465	XP_006557712.2
LOC412467	XP_395924.2
LOC412468	XP_026296435.1
LOC412470	XP_395927.4
LOC412471	XP_006558773.1
LOC412472	XP_395929.2
LOC412473	XP_395930.3
LOC412475	XP_006559124.1
LOC412476	XP_006559127.1
LOC412478	XP_003250277.1
LOC412480	XP_395937.6
LOC412481	XP_395938.2
LOC412487	XP_026296548.1
LOC412488	XP_395945.2
LOC412489	XP_395946.4
LOC412491	XP_395948.5
LOC412495	XP_624088.2
LOC412503	XP_026301321.1
LOC412504	XP_395960.3
LOC412505	XP_395961.4
LOC412506	XP_395962.2
LOC412508	XP_006564561.2
LOC412510	XP_026298837.1
LOC412511	XP_006562013.1
LOC412513	XP_026301566.1
LOC412515	XP_006571991.1
LOC412516	XP_395972.4
LOC412521	XP_016768748.1
LOC412522	XP_625073.3
LOC412523	XP_016773380.1
LOC412524	XP_003249560.1
LOC412526	XP_395981.2
LOC412528	XP_006562599.1
LOC412529	XP_003249854.1
LOC412531	XP_395986.4
LOC412536	XP_006572060.1
LOC412540	XP_026295960.1
LOC412541	XP_006565089.1
LOC412543	XP_026296643.1
LOC412544	XP_006570003.1
LOC412545	XP_006564152.1
LOC412546	XP_026302051.1
LOC412547	XP_026301503.1
LOC412548	XP_396003.4
LOC412549	XP_396004.2
LOC412550	XP_006570309.1
LOC412552	XP_026297493.1
LOC412554	XP_396009.2
LOC412557	XP_396012.1
LOC412560	XP_396015.2
LOC412563	XP_006561444.3
LOC412564	XP_016770900.1
LOC412569	XP_396024.6
LOC412570	XP_396025.4
LOC412573	XP_396028.5
LOC412574	XP_006569370.1
LOC412578	XP_016773305.1
LOC412580	XP_396035.2
LOC412584	XP_396039.6
LOC412588	XP_006568193.1
LOC412589	XP_396044.4
LOC412591	XP_016770451.1
LOC412593	XP_006567927.1
LOC412594	XP_026294715.1
LOC412596	XP_396051.1
LOC412598	XP_016769811.1
LOC412599	XP_396054.1
LOC412601	XP_006571224.2
LOC412602	XP_006562406.1
LOC412606	XP_026299447.1
LOC412607	XP_006562935.2
LOC412608	XP_006561443.1
LOC412610	XP_026297975.1
LOC412611	XP_396066.5
LOC412612	XP_006568082.2
LOC412613	XP_016773404.1
LOC412616	XP_006569306.1
LOC412617	XP_006563110.2
LOC412619	XP_396074.2
LOC412620	XP_006569918.1
LOC412623	XP_016771813.1
LOC412624	XP_396079.3
LOC412626	XP_006570893.1
LOC412627	XP_026299235.1
LOC412629	XP_006567414.2
LOC412630	XP_006565224.1
LOC412635	XP_396090.2
LOC412636	XP_006570055.1
LOC412637	XP_006557362.1
LOC412638	XP_396093.4
LOC412641	XP_396096.4
LOC412642	XP_396097.3
LOC412643	NP_001265260.1
LOC412644	XP_016772764.1
LOC412646	XP_026294816.1
LOC412647	XP_026298558.1
LOC412650	XP_016769260.1
LOC412655	XP_006568074.2
LOC412661	XP_623593.1
LOC412662	XP_396117.2
LOC412663	XP_026299731.1
LOC412665	XP_006572049.1
LOC412666	XP_003250648.1
LOC412667	XP_026295321.1
LOC412670	XP_396126.2
LOC412674	XP_006568657.1
LOC412675	XP_396131.3
LOC412676	XP_396132.4
LOC412678	XP_396134.2
LOC412679	XP_026298629.1
LOC412681	XP_623859.3
LOC412687	XP_396142.4
LOC412688	XP_396143.4
LOC412690	XP_396145.2
LOC412694	XP_026298035.1
LOC412696	XP_006559462.1
LOC412697	XP_016766441.1
LOC412700	XP_396155.4
LOC412701	XP_026297818.1
LOC412703	XP_006562783.1
LOC412705	XP_396159.2
LOC412707	XP_396160.4
LOC412708	XP_396161.2
LOC412710	XP_396163.2
LOC412711	XP_396164.7
LOC412712	XP_396165.2
LOC412714	XP_396167.1
LOC412721	XP_016772929.2
LOC412722	XP_396175.2
LOC412727	XP_396180.4
LOC412728	XP_396181.4
LOC412731	XP_026299969.1
LOC412734	XP_396187.2
LOC412735	XP_026300111.1
LOC412739	XP_396192.5
LOC412741	XP_396194.3
LOC412742	XP_006565266.1
LOC412744	XP_006572428.1
LOC412745	XP_026298830.1
LOC412746	XP_006564669.2
LOC412748	XP_026301943.1
LOC412749	XP_026298958.1
LOC412750	XP_396203.4
LOC412751	XP_396204.4
LOC412755	XP_396208.4
LOC412756	XP_026297050.1
LOC412759	XP_006559197.1
LOC412762	XP_396215.1
LOC412763	XP_006561724.2
LOC412764	XP_396217.2
LOC412767	XP_396220.3
LOC412768	XP_006561719.1
LOC412769	XP_006561717.1
LOC412770	XP_006561713.1
LOC412774	XP_006561041.2
LOC412775	XP_026301171.1
LOC412777	XP_016771545.1
LOC412778	XP_396231.4
LOC412780	XP_396233.3
LOC412782	XP_396235.5
LOC412784	XP_396237.5
LOC412787	XP_026298520.1
LOC412788	XP_006567001.2
LOC412789	XP_006563668.1
LOC412791	XP_026301178.1
LOC412795	XP_006563686.2
LOC412796	XP_006563705.1
LOC412797	XP_016771112.2
LOC412799	XP_006564321.1
LOC412801	XP_396254.6
LOC412804	XP_396257.3
LOC412806	XP_396259.1
LOC412808	XP_006565537.1
LOC412810	XP_016768512.1
LOC412813	XP_016772510.1
LOC412815	XP_006567467.1
LOC412816	XP_006569527.1
LOC412817	XP_396270.5
LOC412818	XP_016768562.1
LOC412823	XP_396275.3
LOC412824	XP_006560780.1
LOC412825	XP_026298015.1
LOC412827	XP_396279.3
LOC412828	XP_396280.4
LOC412829	XP_396281.5
LOC412830	XP_006563765.1
LOC412832	XP_396284.2
LOC412834	XP_006559928.1
LOC412835	XP_026298037.1
LOC412837	XP_006563841.1
LOC412838	XP_006563836.1
LOC412839	XP_016770700.1
LOC412840	XP_026299437.1
LOC412842	XP_396294.3
LOC412843	XP_396295.4
LOC412844	XP_026295424.1
LOC412846	XP_396298.2
LOC412850	XP_396302.3
LOC412851	XP_006560539.1
LOC412853	XP_003251836.1
LOC412855	XP_006563980.2
LOC412858	XP_396310.3
LOC412859	XP_026296803.1
LOC412862	XP_026300142.1
LOC412863	XP_396315.6
LOC412864	XP_006562106.1
LOC412865	XP_026299791.1
LOC412866	XP_396318.4
LOC412868	XP_396320.3
LOC412869	XP_396321.3
LOC412870	XP_396322.3
LOC412876	XP_006568106.1
LOC412878	XP_006561260.1
LOC412880	XP_396332.3
LOC412883	XP_016766762.1
LOC412884	XP_026300031.1
LOC412885	XP_016769470.1
LOC412886	XP_396338.2
LOC412887	XP_026297189.1
LOC412888	XP_006570591.2
LOC412889	XP_396341.3
LOC412890	XP_026301619.1
LOC412893	XP_016770555.2
LOC412896	XP_003249217.1
LOC412897	XP_026296222.1
LOC412898	XP_396350.2
LOC412907	XP_016772051.1
LOC412913	XP_396365.1
LOC412914	XP_006565608.1
LOC412916	XP_006565601.1
LOC412917	XP_026297326.1
LOC412918	XP_026298666.1
LOC412919	XP_396371.5
LOC412923	XP_396374.3
LOC412924	XP_396375.5
LOC412925	XP_396376.2
LOC412926	XP_396377.3
LOC412927	XP_006560054.1
LOC412928	XP_396379.4
LOC412929	XP_006563973.1
LOC412931	XP_396382.3
LOC412932	XP_006561340.1
LOC412933	XP_006561344.1
LOC412934	XP_006565071.1
LOC412935	XP_006565067.2
LOC412936	XP_026300585.1
LOC412937	XP_396388.5
LOC412941	XP_016771856.2
LOC412943	XP_006557794.1
LOC412944	XP_006566667.2
LOC412948	XP_026301996.1
LOC412949	XP_026301995.1
LOC412950	XP_026297867.1
LOC412954	XP_026300870.1
LOC412955	XP_396406.5
LOC412956	XP_006569299.1
LOC412959	XP_016769197.2
LOC412960	XP_396411.5
LOC412961	XP_006561689.2
LOC412965	XP_006564807.1
LOC412966	XP_016767570.2
LOC412968	XP_006564803.2
LOC412969	XP_006564801.1
LOC412972	XP_396423.3
LOC412975	XP_396426.5
LOC412976	XP_006566028.2
LOC412979	XP_396430.1
LOC412984	XP_396435.3
LOC412985	XP_396436.3
LOC412986	NP_001177850.1
LOC412993	XP_026296139.1
LOC412994	XP_006557730.1
LOC412996	XP_396447.3
LOC412997	XP_396448.1
LOC413000	XP_396451.2
LOC413001	XP_006567802.2
LOC413002	XP_006558275.1
LOC413005	XP_016768186.1
LOC413006	XP_006563816.1
LOC413011	XP_396462.2
LOC413012	XP_026296675.1
LOC413014	XP_396465.2
LOC413018	XP_006571185.1
LOC413020	XP_026296685.1
LOC413021	XP_006562247.2
LOC413023	XP_026294824.1
LOC413024	XP_026297477.1
LOC413025	XP_016767886.2
LOC413029	XP_006559524.1
LOC413030	XP_396481.3
LOC413032	XP_006560758.1
LOC413034	XP_006560763.1
LOC413036	XP_006560766.2
LOC413040	XP_016768310.1
LOC413043	XP_026297082.1
LOC413046	XP_003251652.1
LOC413047	XP_006568129.2
LOC413048	XP_396499.5
LOC413051	XP_396502.5
LOC413052	XP_396503.5
LOC413053	XP_396504.1
LOC413054	XP_026299686.1
LOC413055	XP_396506.4
LOC413056	XP_026302052.1
LOC413060	XP_396511.3
LOC413063	XP_026296800.1
LOC413064	XP_016771088.1
LOC413065	XP_006559900.1
LOC413068	XP_006565024.2
LOC413069	XP_396520.4
LOC413071	XP_006557567.2
LOC413073	XP_016768197.1
LOC413074	XP_396525.2
LOC413076	XP_006565460.2
LOC413078	XP_006563739.1
LOC413080	XP_006568644.1
LOC413081	XP_006568641.1
LOC413083	XP_026300601.1
LOC413086	XP_016770375.1
LOC413087	XP_006570432.1
LOC413089	XP_396540.4
LOC413091	XP_396542.5
LOC413096	XP_396547.5
LOC413097	XP_026299492.1
LOC413098	XP_396549.3
LOC413099	XP_396550.2
LOC413101	XP_396552.3
LOC413103	XP_396554.4
LOC413106	XP_026298369.1
LOC413108	NP_001265608.1
LOC413109	XP_006566323.1
LOC413110	XP_396561.1
LOC413112	XP_026295812.1
LOC413113	XP_026296143.1
LOC413117	XP_006562695.1
LOC413118	XP_006571384.2
LOC413119	XP_006561467.1
LOC413120	XP_006561461.1
LOC413121	XP_016772439.2
LOC413123	XP_026300295.1
LOC413125	XP_016771019.1
LOC413126	XP_006572322.1
LOC413128	XP_396579.3
LOC413129	XP_016767927.1
LOC413130	XP_396581.5
LOC413132	XP_006571695.2
LOC413133	XP_396584.2
LOC413134	XP_396585.2
LOC413137	XP_396588.2
LOC413138	XP_006567242.1
LOC413139	XP_006567240.1
LOC413141	XP_006567235.1
LOC413142	XP_016773638.2
LOC413144	XP_396595.2
LOC413145	XP_396596.1
LOC413146	XP_003249451.1
LOC413147	XP_026294718.1
LOC413152	XP_396603.5
LOC413153	XP_016768644.1
LOC413154	XP_006571826.2
LOC413159	XP_026297127.1
LOC413164	XP_396615.2
LOC413165	XP_026297185.1
LOC413166	XP_006569970.1
LOC413167	XP_396618.2
LOC413168	XP_006560213.1
LOC413169	XP_396620.5
LOC413170	XP_006564248.1
LOC413171	XP_006564250.2
LOC413173	XP_396624.2
LOC413176	XP_396627.4
LOC413179	XP_396630.2
LOC413181	XP_396632.3
LOC413183	XP_396634.2
LOC413184	XP_396635.2
LOC413185	XP_006559688.1
LOC413186	XP_396637.3
LOC413189	XP_396639.1
LOC413190	XP_396640.4
LOC413192	XP_396642.2
LOC413194	XP_006560502.2
LOC413195	XP_396645.4
LOC413196	XP_396646.1
LOC413197	XP_026297914.1
LOC413200	XP_006558356.1
LOC413204	XP_396653.1
LOC413205	XP_396654.1
LOC413207	XP_396656.1
LOC413208	XP_006568821.1
LOC413209	XP_396658.3
LOC413210	XP_006558169.2
LOC413213	XP_006559344.1
LOC413215	XP_006569804.2
LOC413222	XP_006565215.1
LOC413223	XP_026299982.1
LOC413224	XP_026299978.1
LOC413228	XP_624475.1
LOC413233	XP_026295314.1
LOC413239	XP_396685.2
LOC413240	XP_396686.2
LOC413242	XP_396688.4
LOC413244	XP_396690.2
LOC413245	XP_006571254.1
LOC413246	XP_006558879.1
LOC413247	XP_016768436.1
LOC413248	XP_026297503.1
LOC413250	XP_396696.4
LOC413252	XP_396698.3
LOC413253	XP_396699.1
LOC413255	XP_396701.3
LOC413256	XP_396702.1
LOC413259	XP_396705.4
LOC413260	XP_006566747.2
LOC413261	XP_016770683.1
LOC413263	XP_006569876.2
LOC413264	XP_026297953.1
LOC413265	XP_026294939.1
LOC413266	XP_006557926.1
LOC413267	XP_006557930.1
LOC413270	XP_396715.5
LOC413271	XP_396716.1
LOC413274	XP_026298714.1
LOC413275	XP_396720.2
LOC413278	XP_396723.3
LOC413279	XP_396724.2
LOC413280	XP_016768732.1
LOC413285	XP_396730.1
LOC413286	XP_006565695.1
LOC413288	XP_006568047.1
LOC413289	XP_006568051.2
LOC413293	XP_396738.2
LOC413294	XP_026300871.1
LOC413296	XP_006565264.1
LOC413297	XP_396742.2
LOC413299	XP_396744.4
LOC413303	XP_026297714.1
LOC413305	XP_396750.5
LOC413309	XP_026299404.1
LOC413310	XP_026299737.1
LOC413311	XP_006557510.1
LOC413313	XP_396758.1
LOC413314	XP_006560988.1
LOC413318	XP_026296380.1
LOC413319	XP_016767835.1
LOC413324	XP_016769017.1
LOC413328	XP_006561312.1
LOC413331	XP_026295879.1
LOC413332	XP_006558861.1
LOC413333	XP_396778.2
LOC413334	XP_006558878.1
LOC413336	XP_396781.2
LOC413340	XP_396785.4
LOC413341	XP_016766741.1
LOC413343	XP_396788.3
LOC413344	XP_396789.2
LOC413345	XP_006568410.1
LOC413346	XP_396791.3
LOC413350	XP_006565981.1
LOC413351	XP_006565978.1
LOC413354	XP_006564353.1
LOC413356	XP_006570997.1
LOC413357	XP_396802.3
LOC413361	XP_396806.3
LOC413362	XP_396807.4
LOC413363	XP_016766945.1
LOC413365	XP_396810.3
LOC413366	XP_006564252.1
LOC413368	XP_026296917.1
LOC413369	XP_006558396.1
LOC413370	XP_396815.3
LOC413371	XP_396816.5
LOC413372	XP_026295475.1
LOC413374	XP_396819.2
LOC413376	XP_016766683.1
LOC413377	XP_026301514.1
LOC413378	XP_006571657.1
LOC413379	XP_396824.1
LOC413380	XP_006559006.1
LOC413382	XP_016769589.1
LOC413383	XP_006559859.1
LOC413384	XP_016768657.1
LOC413385	XP_396830.4
LOC413386	XP_006557827.2
LOC413388	XP_006558042.1
LOC413389	XP_006558043.1
LOC413390	XP_623255.1
LOC413391	XP_396835.3
LOC413393	XP_026295421.1
LOC413394	XP_396838.2
LOC413398	XP_396842.4
LOC413399	XP_006560647.1
LOC413400	XP_016767519.2
LOC413404	XP_396848.4
LOC413407	XP_396851.4
LOC413408	XP_396852.2
LOC413409	XP_006563254.1
LOC413410	XP_006559211.1
LOC413411	XP_396855.2
LOC413416	XP_006557313.1
LOC413418	XP_006569880.1
LOC413423	XP_006567199.2
LOC413425	XP_396869.4
LOC413427	XP_016770566.2
LOC413428	XP_026299491.1
LOC413429	XP_396873.2
LOC413430	XP_396874.5
LOC413433	XP_026297416.1
LOC413435	XP_396879.3
LOC413437	XP_396881.3
LOC413438	XP_006566893.1
LOC413439	XP_006564278.1
LOC413440	XP_006562054.1
LOC413441	XP_006569244.2
LOC413447	XP_006557582.1
LOC413448	XP_396892.2
LOC413450	XP_396894.4
LOC413451	XP_396895.4
LOC413457	XP_006566621.1
LOC413460	XP_396904.4
LOC413462	XP_396906.3
LOC413464	XP_006560166.1
LOC413466	XP_026300884.1
LOC413467	XP_006568163.2
LOC413468	XP_006568157.1
LOC413470	XP_396914.2
LOC413471	XP_396915.4
LOC413472	XP_006570948.1
LOC413473	XP_016768086.1
LOC413474	XP_396918.4
LOC413478	XP_396922.2
LOC413481	XP_396925.4
LOC413484	XP_006568548.2
LOC413486	XP_396930.1
LOC413488	XP_006568541.1
LOC413489	XP_396933.1
LOC413490	XP_396934.4
LOC413491	XP_006559386.1
LOC413493	XP_396937.4
LOC413494	XP_026297455.1
LOC413495	XP_396939.2
LOC413498	XP_396942.4
LOC413499	XP_396943.1
LOC413500	XP_396944.4
LOC413501	XP_016771882.1
LOC413502	XP_026300091.1
LOC413503	XP_006569276.1
LOC413504	XP_026298905.1
LOC413508	XP_006560666.1
LOC413510	XP_006559285.1
LOC413512	XP_006570973.2
LOC413515	XP_396958.5
LOC413517	XP_396960.2
LOC413520	XP_396963.2
LOC413523	XP_396966.2
LOC413524	XP_396967.4
LOC413525	XP_026300762.1
LOC413527	NP_001276370.1
LOC413529	XP_396972.6
LOC413531	XP_026301649.1
LOC413532	XP_026301650.1
LOC413533	XP_396976.2
LOC413534	XP_026301724.1
LOC413539	XP_006558380.2
LOC413542	XP_006564809.1
LOC413543	XP_006559048.2
LOC413544	XP_396986.3
LOC413545	XP_026299742.1
LOC413547	XP_396989.2
LOC413548	XP_396990.3
LOC413549	XP_396991.5
LOC413550	XP_026300579.1
LOC413551	XP_396993.3
LOC413553	XP_026299949.1
LOC413555	XP_006558411.1
LOC413556	XP_026298344.1
LOC413557	XP_016772102.1
LOC413558	XP_396999.5
LOC413560	XP_397001.3
LOC413562	XP_016769240.2
LOC413567	XP_397008.1
LOC413568	XP_016769061.2
LOC413569	XP_026300846.1
LOC413573	XP_026298711.1
LOC413574	XP_026301237.1
LOC413575	XP_006571359.2
LOC413576	XP_397017.3
LOC413577	XP_006571360.1
LOC413578	XP_016772927.1
LOC413579	XP_026300797.1
LOC413582	XP_016771725.1
LOC413583	XP_006570477.1
LOC413588	XP_397030.3
LOC413590	XP_026295815.1
LOC413591	XP_026296072.1
LOC413592	XP_006572303.1
LOC413594	XP_006562815.1
LOC413596	XP_016771340.2
LOC413601	XP_397043.2
LOC413605	XP_397047.2
LOC413607	XP_006559200.2
LOC413612	XP_397054.2
LOC413613	XP_397055.1
LOC413614	XP_397056.2
LOC413616	XP_026297813.1
LOC413618	XP_397060.3
LOC413619	XP_397061.1
LOC413620	XP_397062.3
LOC413623	XP_006558840.1
LOC413625	XP_006564673.2
LOC413627	XP_026298038.1
LOC413631	XP_397073.5
LOC413633	XP_003249155.2
LOC413636	XP_006563445.1
LOC413637	XP_006559899.2
LOC413638	XP_026296196.1
LOC413643	XP_397085.2
LOC413649	XP_006570843.1
LOC413650	XP_397092.3
LOC413652	XP_397094.2
LOC413653	XP_397095.3
LOC413655	XP_397097.2
LOC413657	XP_006572237.1
LOC413660	XP_397101.4
LOC413663	XP_006559637.1
LOC413664	XP_026298010.1
LOC413666	XP_397107.5
LOC413667	XP_026299394.1
LOC413668	XP_397109.3
LOC413669	XP_026295793.1
LOC413670	XP_397111.2
LOC413672	XP_397113.1
LOC413674	XP_003251623.1
LOC413675	XP_397116.4
LOC413676	XP_026297933.1
LOC413677	XP_006570101.2
LOC413678	XP_016767794.2
LOC413679	XP_397120.4
LOC413680	XP_016770515.1
LOC413683	XP_006562950.1
LOC413684	XP_397125.5
LOC413686	XP_397127.5
LOC413688	XP_397129.4
LOC413689	XP_397130.4
LOC413690	XP_397131.4
LOC413691	XP_006564240.1
LOC413692	XP_026298620.1
LOC413693	XP_026302049.1
LOC413697	XP_397138.5
LOC413698	XP_397139.3
LOC413699	XP_397140.4
LOC413702	XP_006562958.1
LOC413705	XP_006562163.1
LOC413708	XP_006558480.1
LOC413709	XP_006559323.1
LOC413711	XP_016767764.1
LOC413713	XP_006568631.3
LOC413714	XP_397155.4
LOC413718	XP_026296528.1
LOC413720	XP_397160.3
LOC413721	XP_026297380.1
LOC413724	XP_016769257.1
LOC413727	XP_026296288.1
LOC413728	XP_397168.3
LOC413730	XP_397170.4
LOC413732	XP_397171.3
LOC413735	XP_397174.4
LOC413736	XP_006572417.1
LOC413738	XP_397177.5
LOC413739	XP_016769079.1
LOC413740	XP_006559721.1
LOC413742	XP_397181.1
LOC413746	XP_397185.2
LOC413749	XP_006562425.1
LOC413753	XP_026300061.1
LOC413754	XP_026296175.1
LOC413755	XP_016772181.2
LOC413757	XP_026296509.1
LOC413758	XP_026299250.1
LOC413759	XP_026295921.1
LOC413762	XP_397201.2
LOC413763	XP_397202.1
LOC413766	XP_006567962.1
LOC413768	XP_026298505.1
LOC413772	XP_006572407.1
LOC413774	XP_397213.2
LOC413781	XP_397220.3
LOC413782	XP_397221.5
LOC413783	XP_026297000.1
LOC413784	XP_026301282.1
LOC413785	XP_026297172.1
LOC413787	XP_397226.2
LOC413789	XP_397228.2
LOC413791	XP_006568039.1
LOC413792	XP_026298920.1
LOC413793	XP_397232.1
LOC413794	XP_397233.2
LOC413795	XP_006560709.1
LOC413796	XP_397235.3
LOC413799	XP_003249499.1
LOC413802	XP_397241.4
LOC413805	XP_006569315.2
LOC413807	XP_006569965.2
LOC413809	XP_397248.4
LOC413810	XP_006558467.1
LOC413812	XP_006558465.1
LOC413813	XP_397252.2
LOC413814	XP_003249083.2
LOC413815	XP_006571948.2
LOC413816	XP_006564447.1
LOC413817	XP_016766939.1
LOC413821	XP_006561743.1
LOC413822	XP_397261.2
LOC413825	XP_006567666.1
LOC413827	XP_397266.3
LOC413829	XP_016766873.1
LOC413831	XP_397270.3
LOC413833	XP_006564430.1
LOC413834	XP_026302065.1
LOC413835	XP_397274.4
LOC413837	XP_026299793.1
LOC413840	XP_003250595.1
LOC413842	XP_397281.4
LOC413844	XP_397283.1
LOC413845	XP_006565977.1
LOC413852	XP_397291.2
LOC413854	XP_397293.3
LOC413855	XP_006571697.2
LOC413858	XP_006560560.2
LOC413867	XP_006563276.1
LOC413868	XP_006563278.1
LOC413869	XP_397308.1
LOC413870	XP_016767749.1
LOC413873	XP_026297467.1
LOC413874	XP_016766797.2
LOC413875	XP_397314.1
LOC413877	XP_397316.1
LOC413878	XP_397317.2
LOC413879	XP_397318.4
LOC413880	XP_006558583.1
LOC413881	XP_397320.1
LOC413884	XP_016767411.1
LOC413885	XP_026298299.1
LOC413889	XP_006564028.1
LOC413891	XP_016772586.1
LOC413892	XP_006557342.1
LOC413895	XP_397334.3
LOC413898	XP_026296947.1
LOC413899	XP_397338.3
LOC413900	XP_026296945.1
LOC413906	XP_006564097.2
LOC413907	XP_026299623.1
LOC413908	XP_397347.4
LOC413909	XP_016771659.1
LOC413912	XP_397351.4
LOC413914	XP_026298277.1
LOC413915	XP_397354.3
LOC413916	XP_397355.2
LOC413917	XP_026298506.1
LOC413919	XP_006558961.3
LOC413924	XP_006566262.1
LOC413925	XP_006566258.2
LOC413926	XP_006567760.1
LOC413928	XP_397367.1
LOC413929	XP_397368.4
LOC413930	XP_397369.4
LOC413931	XP_026301419.1
LOC413933	XP_397372.4
