#CREATED MARCH 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE OF GENES, CORRESPONDING TRANSRIPTS (VARIANT-RESOLVED) AND PRODUCT DESCRIPTION FROM APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2)
GeneID	TranscriptID	Gene_Desc
LOC102653614	XM_016916536.2	 probable RNA methyltransferase CG11342 
LOC100577656	XM_016916538.2	 uncharacterized LOC100577656 
LOC724160	XM_016916539.2	 uncharacterized LOC724160 
LOC552816	XM_016916540.2	 vesicular integral-membrane protein VIP36 
LOC410624	XM_016916542.2	 serine proteinase stubble 
LOC410623	XM_016916543.2	 ionotropic receptor 93a 
LOC102653614	XM_016916544.2	 probable RNA methyltransferase CG11342 
LOC410623	XM_016916545.2	 ionotropic receptor 93a 
LOC410623	XM_016916547.2	 ionotropic receptor 93a 
LOC410626	XM_016916549.2	 sodium-coupled monocarboxylate transporter 1 
LOC100577783	XM_016916550.2	 protein Skeletor, isoforms B/C 
LOC100577783	XM_016916551.2	 protein Skeletor, isoforms B/C 
LOC410606	XM_016916552.2	 protein Skeletor, isoforms B/C 
LOC552844	XM_016916555.2	 complexin 
LOC409666	XM_016916561.2	 ABC transporter G family member 20 
LOC412907	XM_016916562.2	 arrestin homolog 
LOC409667	XM_016916565.2	 BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 
LOC726948	XM_016916568.2	 suppressor of lurcher protein 1 
LOC724789	XM_016916574.1	 STAM-binding protein 
LOC408543	XM_016916576.2	 RING finger protein 44 
LOC408543	XM_016916578.2	 RING finger protein 44 
LOC408543	XM_016916579.2	 RING finger protein 44 
LOC408543	XM_016916581.2	 RING finger protein 44 
LOC410589	XM_016916583.2	 semaphorin-5A 
LOC100576432	XM_016916584.2	 uncharacterized LOC100576432 
LOC113218519	XM_016916585.2	 uncharacterized LOC113218519 
LOC113218519	XM_016916586.2	 uncharacterized LOC113218519 
LOC102654111	XM_016916588.2	 platelet glycoprotein V 
LOC102654111	XM_016916589.2	 platelet glycoprotein V 
LOC102654111	XM_016916590.2	 platelet glycoprotein V 
LOC102653771	XM_016916592.1	 tRNA (guanine(37)-N1)-methyltransferase 
LOC102656354	XM_016916593.2	 uncharacterized LOC102656354 
LOC408528	XM_016916595.2	 colorectal mutant cancer protein 
LOC107965597	XM_016916597.2	 uncharacterized protein C12orf73 homolog 
LOC726698	XM_016916599.2	 serine protease snake 
LOC102654652	XM_016916600.2	 uncharacterized LOC102654652 
LOC102654652	XM_016916601.2	 uncharacterized LOC102654652 
LOC412203	XM_016916603.2	 protein brown 
LOC726853	XM_016916608.2	 protein scarlet 
LOC726853	XM_016916609.2	 protein scarlet 
LOC726853	XM_016916610.2	 protein scarlet 
LOC413557	XM_016916613.2	 syndecan 
LOC409090	XM_016916614.2	 uncharacterized LOC409090 
LOC725503	XM_016916617.2	 uncharacterized LOC725503 
LOC725503	XM_016916618.2	 uncharacterized LOC725503 
LOC725503	XM_016916619.2	 uncharacterized LOC725503 
LOC725503	XM_016916620.2	 uncharacterized LOC725503 
LOC725503	XM_016916621.2	 uncharacterized LOC725503 
LOC725394	XM_016916622.2	 solute carrier family 26 member 6-like 
LOC409137	XM_016916624.2	 MAP kinase-activating death domain protein 
LOC409137	XM_016916626.2	 MAP kinase-activating death domain protein 
LOC552795	XM_016916628.2	 cholinephosphotransferase 1 
LOC552795	XM_016916629.2	 cholinephosphotransferase 1 
LOC552795	XM_016916630.2	 cholinephosphotransferase 1 
LOC552795	XM_016916631.2	 cholinephosphotransferase 1 
LOC552795	XM_016916632.2	 cholinephosphotransferase 1 
LOC552795	XM_016916633.2	 cholinephosphotransferase 1 
LOC552795	XM_016916634.2	 cholinephosphotransferase 1 
LOC410618	XM_016916640.2	 transmembrane protein 161B 
LOC725468	XM_016916641.2	 AN1-type zinc finger protein 1 
LOC102653956	XM_016916642.1	 anaphase-promoting complex subunit 13 
LOC107965601	XM_016916645.2	 uncharacterized LOC107965601 
LOC410782	XM_016916647.2	 huntingtin-interacting protein 1 
LOC410612	XM_016916648.2	 solute carrier family 25 member 44 
LOC412163	XM_016916650.1	 aldose reductase 
LOC726706	XM_016916652.2	 F-box/LRR-repeat protein 7 
LOC551551	XM_016916653.1	 pre-mRNA-splicing factor Slu7 
LOC724208	XM_016916654.2	 serine protease snake 
LOC413032	XM_016916656.2	 tankyrase 
LOC412795	XM_016916657.2	 cadherin-99C 
LOC409109	XM_016916658.2	 mycosubtilin synthase subunit C 
LOC102654084	XM_016916660.2	 tetraspanin-3 
LOC100576224	XM_016916661.2	 carbonic anhydrase 2 
LOC724207	XM_016916667.2	 phospholipid scramblase 2 
LOC724207	XM_016916668.2	 phospholipid scramblase 2 
LOC724207	XM_016916669.2	 phospholipid scramblase 2 
LOC409674	XM_016916674.2	 uncharacterized LOC409674 
LOC409713	XM_016916675.2	 protein hu-li tai shao 
LOC409713	XM_016916676.2	 protein hu-li tai shao 
LOC100577320	XM_016916677.2	 uncharacterized LOC100577320 
LOC726720	XM_016916678.2	 U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein 
LOC726651	XM_016916679.2	 Fanconi anemia group I protein 
LOC410581	XM_016916680.2	 uncharacterized LOC410581 
LOC408504	XM_016916681.2	 protein FAM160B1 
LOC102655243	XM_016916682.2	 uncharacterized LOC102655243 
LOC552558	XM_016916685.2	 uncharacterized LOC552558 
LOC107965608	XM_016916686.2	 uncharacterized LOC107965608 
LOC100577464	XM_016916687.2	 uncharacterized LOC100577464 
LOC100577544	XM_016916688.2	 uncharacterized LOC100577544 
LOC551824	XM_016916689.2	 putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 
LOC413755	XM_016916690.2	 attractin 
LOC413755	XM_016916691.2	 attractin 
LOC413755	XM_016916692.2	 attractin 
LOC410769	XM_016916693.2	 puromycin-sensitive aminopeptidase 
LOC551847	XM_016916694.2	 N-acetyl-D-glucosamine kinase 
LOC408517	XM_016916696.2	 synaptic vesicular amine transporter 
LOC408517	XM_016916697.2	 synaptic vesicular amine transporter 
LOC726476	XM_016916698.2	 alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase 
LOC726476	XM_016916699.2	 alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase 
LOC726459	XM_016916700.2	 odorant receptor 13a 
LOC408516	XM_016916701.2	 protein D2 
LOC410577	XM_016916702.2	 acid sphingomyelinase-like phosphodiesterase 3a 
LOC100578286	XM_016916707.2	 flavin-containing monooxygenase FMO GS-OX-like 2 
LOC100578286	XM_016916708.2	 flavin-containing monooxygenase FMO GS-OX-like 2 
LOC100578286	XM_016916709.2	 flavin-containing monooxygenase FMO GS-OX-like 2 
LOC100578286	XM_016916710.2	 flavin-containing monooxygenase FMO GS-OX-like 2 
LOC102656186	XM_016916711.2	 trypsin-5 
LOC102656186	XM_016916712.2	 trypsin-5 
LOC411827	XM_016916713.2	 protein roadkill 
LOC411827	XM_016916717.2	 protein roadkill 
LOC411827	XM_016916718.2	 protein roadkill 
LOC411958	XM_016916720.2	 TWiK family of potassium channels protein 18 
LOC411958	XM_016916721.2	 TWiK family of potassium channels protein 18 
LOC409573	XM_016916723.2	 zinc finger protein 2 homolog 
LOC408544	XM_016916734.2	 lysyl oxidase homolog 4 
LOC410617	XM_016916735.2	 cytochrome c oxidase assembly protein COX15 homolog 
LOC412789	XM_016916736.2	 NHL repeat-containing protein 2 
LOC102656397	XM_016916739.2	 MORN repeat-containing protein 5 
LOC410604	XM_016916740.2	 protein phosphatase PP2A 55 kDa regulatory subunit 
LOC410604	XM_016916741.2	 protein phosphatase PP2A 55 kDa regulatory subunit 
LOC410604	XM_016916742.2	 protein phosphatase PP2A 55 kDa regulatory subunit 
LOC552784	XM_016916750.2	 uncharacterized LOC552784 
LOC551036	XM_016916754.2	 vacuole membrane protein 1 
LOC727223	XM_016916759.2	 uncharacterized LOC727223 
LOC727223	XM_016916761.2	 uncharacterized LOC727223 
LOC412430	XM_016916763.2	 major facilitator superfamily domain-containing protein 6 
LOC409180	XM_016916765.2	 4-hydroxybutyrate coenzyme A transferase-like 
LOC411720	XM_016916766.2	 mitogen-activated protein kinase kinase kinase 7 interacting protein 1 
LOC726510	XM_016916767.2	 M-phase inducer phosphatase 1 
LOC552109	XM_016916769.2	 cytosol aminopeptidase 
LOC724251	XM_016916790.2	 alpha-sarcoglycan 
LOC724251	XM_016916791.2	 alpha-sarcoglycan 
LOC724251	XM_016916793.2	 alpha-sarcoglycan 
LOC724251	XM_016916794.2	 alpha-sarcoglycan 
LOC724251	XM_016916795.2	 alpha-sarcoglycan 
LOC724251	XM_016916796.2	 alpha-sarcoglycan 
LOC408519	XM_016916800.2	 serine/threonine-protein kinase 10 
Obp19	XM_016916804.2	 odorant binding protein 19 
LOC409200	XM_016916807.2	 uncharacterized protein DDB_G0289975 
LOC409200	XM_016916808.2	 uncharacterized protein DDB_G0289975 
LOC725115	XM_016916809.1	 poly(U)-binding-splicing factor half pint 
LOC725115	XM_016916810.2	 poly(U)-binding-splicing factor half pint 
LOC409270	XM_016916816.2	 glycerol-3-phosphate acyltransferase 4 
LOC408536	XM_016916818.2	 angiotensin-converting enzyme 
LOC408536	XM_016916819.2	 angiotensin-converting enzyme 
LOC107965630	XM_016916820.2	 titin-like 
LOC102655762	XM_016916822.2	 repetitive proline-rich cell wall protein 2-like 
LOC100576958	XM_016916823.2	 WD repeat-containing protein 81 
LOC725248	XM_016916828.2	 dedicator of cytokinesis protein 1 
LOC410573	XM_016916832.2	 nephrin 
LOC410573	XM_016916833.2	 nephrin 
LOC409185	XM_016916837.1	 uncharacterized LOC409185 
LOC100578556	XM_016916841.2	 putative uncharacterized protein DDB_G0282133 
LOC409355	XM_016916846.2	 glutaredoxin 3 
LOC414008	XM_016916848.2	 ribonucleoside-diphosphate reductase subunit M2 
LOC412489	XM_016916849.2	 protein RFT1 homolog 
LOC409508	XM_016916850.2	 S-adenosylmethionine mitochondrial carrier protein 
LOC409508	XM_016916851.2	 S-adenosylmethionine mitochondrial carrier protein 
LOC552374	XM_016916853.1	 protein Wnt-1 
LOC412774	XM_016916854.2	 uncharacterized LOC412774 
LOC409318	XM_016916856.2	 Kv channel-interacting protein 2 
LOC726887	XM_016916861.2	 ras-related protein Rab-32 
LOC726887	XM_016916862.2	 ras-related protein Rab-32 
LOC726887	XM_016916863.2	 ras-related protein Rab-32 
LOC726887	XM_016916864.2	 ras-related protein Rab-32 
LOC726887	XM_016916865.2	 ras-related protein Rab-32 
LOC726887	XM_016916866.2	 ras-related protein Rab-32 
LOC100578260	XM_016916868.2	 WD repeat-containing protein 91 
LOC100577122	XM_016916870.2	 cellular tumor antigen p53 
LOC551213	XM_016916871.2	 lymphocyte cytosolic protein 2 
LOC726825	XM_016916875.2	 homeobox protein HMX2 
LOC724916	XM_016916879.2	 tetraspanin-12 
LOC726566	XM_016916883.2	 WD repeat-containing protein 60 
LOC725379	XM_016916884.2	 uncharacterized protein C3orf18 homolog 
LOC102656029	XM_016916887.2	 homeobox protein Hmx 
Antp	XM_016916893.2	 homeotic protein antennapedia 
Antp	XM_016916895.2	 homeotic protein antennapedia 
Antp	XM_016916896.2	 homeotic protein antennapedia 
Antp	XM_016916898.2	 homeotic protein antennapedia 
Antp	XM_016916899.2	 homeotic protein antennapedia 
Antp	XM_016916900.2	 homeotic protein antennapedia 
Antp	XM_016916901.2	 homeotic protein antennapedia 
Cyp4g11	XM_016916903.2	 cytochrome P450 4G11 
Syt20	XM_016916904.2	 synaptotagmin 20 
Ubx	XM_016916906.2	 ultrabithorax 
KAT2A	XM_016916907.1	 K(lysine) acetyltransferase 2A 
LOC107965657	XM_016916914.2	 origin recognition complex subunit 1 
LOC409952	XM_016916921.2	 uncharacterized LOC409952 
LOC409952	XM_016916922.2	 uncharacterized LOC409952 
LOC409604	XM_016916924.2	 nostrin 
LOC409604	XM_016916925.2	 nostrin 
LOC412470	XM_016916928.2	 MAP kinase-interacting serine/threonine-protein kinase 1 
LOC552481	XM_016916929.2	 INO80 complex subunit C 
LOC551429	XM_016916936.2	 TBC1 domain family member 10A 
LOC107963996	XM_016916938.2	 leucine-rich repeat-containing protein 70 
LOC100577163	XM_016916939.2	 insulin-like growth factor-binding protein complex acid labile subunit 
LOC413852	XM_016916940.2	 nitrilase and fragile histidine triad fusion protein NitFhit 
LOC551799	XM_016916945.2	 putative mediator of RNA polymerase II transcription subunit 26 
LOC100577697	XM_016916948.2	 uncharacterized LOC100577697 
LOC100577697	XM_016916949.2	 uncharacterized LOC100577697 
LOC413121	XM_016916950.2	 39S ribosomal protein L22, mitochondrial 
LOC412547	XM_016916951.2	 DNA-directed RNA polymerase II subunit RPB9 
LOC107965670	XM_016916953.2	 uncharacterized LOC107965670 
LOC100576410	XM_016916954.2	 uncharacterized LOC100576410 
LOC409655	XM_016916972.2	 sorbin and SH3 domain-containing protein 1 
LOC409655	XM_016916973.2	 sorbin and SH3 domain-containing protein 1 
LOC725470	XM_016916975.2	 sialin 
LOC725470	XM_016916976.2	 sialin 
LOC725470	XM_016916977.2	 sialin 
LOC107965672	XM_016916979.2	 uncharacterized LOC107965672 
LOC551080	XM_016916981.2	 cystinosin homolog 
LOC551080	XM_016916982.2	 cystinosin homolog 
LOC107965674	XM_016916984.2	 39S ribosomal protein L55, mitochondrial 
LOC102655737	XM_016916985.2	 neural-cadherin 
LOC725788	XM_016916986.2	 plexin domain-containing protein 2 
LOC408556	XM_016916987.2	 eukaryotic translation initiation factor 5B 
LOC725117	XM_016916988.2	 protein sprouty homolog 2 
LOC411714	XM_016916990.2	 uncharacterized protein C05D11.1 
LOC725587	XM_016916991.2	 serine/arginine repetitive matrix protein 5 
LOC100577823	XM_016916993.2	 uncharacterized LOC100577823 
LOC414036	XM_016916994.2	 ankyrin repeat domain-containing protein 39 
LOC414036	XM_016916996.2	 ankyrin repeat domain-containing protein 39 
LOC410637	XM_016916997.2	 nuclear receptor coactivator 3 
LOC412813	XM_016916998.2	 zwei Ig domain protein zig-8 
LOC410637	XM_016916999.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917000.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917001.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917003.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917004.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917005.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917006.2	 nuclear receptor coactivator 3 
LOC410637	XM_016917008.2	 nuclear receptor coactivator 3 
LOC412813	XM_016917010.2	 zwei Ig domain protein zig-8 
LOC551685	XM_016917011.1	 uncharacterized LOC551685 
LOC551685	XM_016917012.1	 uncharacterized LOC551685 
LOC408562	XM_016917013.2	 uncharacterized LOC408562 
LOC408562	XM_016917014.2	 uncharacterized LOC408562 
LOC412813	XM_016917015.2	 zwei Ig domain protein zig-8 
LOC412813	XM_016917021.2	 zwei Ig domain protein zig-8 
LOC408563	XM_016917022.2	 centrosomin 
LOC410659	XM_016917023.2	 golgin subfamily A member 1 
LOC410659	XM_016917024.2	 golgin subfamily A member 1 
LOC412813	XM_016917025.2	 zwei Ig domain protein zig-8 
LOC412813	XM_016917027.2	 zwei Ig domain protein zig-8 
LOC409638	XM_016917028.2	 elongation of very long chain fatty acids protein AAEL008004 
LOC107965687	XM_016917029.2	 uncharacterized LOC107965687 
LOC107965687	XM_016917030.2	 uncharacterized LOC107965687 
LOC412813	XM_016917032.2	 zwei Ig domain protein zig-8 
LOC552086	XM_016917034.2	 aldose 1-epimerase 
LOC552086	XM_016917035.2	 aldose 1-epimerase 
LOC412813	XM_016917039.2	 zwei Ig domain protein zig-8 
LOC411556	XM_016917040.2	 cytosolic carboxypeptidase 2 
LOC107965692	XM_016917043.1	 poly(ADP-ribose) glycohydrolase 
LOC726021	XM_016917048.2	 uncharacterized LOC726021 
LOC726021	XM_016917049.2	 uncharacterized LOC726021 
LOC409424	XM_016917050.2	 solute carrier family 2, facilitated glucose transporter member 1 
LOC550989	XM_016917056.2	 palmitoyltransferase ZDHHC15B 
LOC550989	XM_016917057.2	 palmitoyltransferase ZDHHC15B 
LOC550989	XM_016917059.2	 palmitoyltransferase ZDHHC15B 
LOC725841	XM_016917061.2	 hyaluronan mediated motility receptor 
LOC100576709	XM_016917062.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917064.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917065.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917066.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917067.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917068.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917069.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917070.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917071.2	 mitogen-activated protein kinase-binding protein 1 
LOC100576709	XM_016917073.2	 mitogen-activated protein kinase-binding protein 1 
LOC725841	XM_016917074.2	 hyaluronan mediated motility receptor 
LOC550975	XM_016917075.1	 uncharacterized LOC550975 
LOC413409	XM_016917077.2	 cytoplasmic dynein 1 intermediate chain 
LOC725841	XM_016917078.2	 hyaluronan mediated motility receptor 
LOC413409	XM_016917079.2	 cytoplasmic dynein 1 intermediate chain 
LOC413409	XM_016917080.2	 cytoplasmic dynein 1 intermediate chain 
LOC413409	XM_016917081.2	 cytoplasmic dynein 1 intermediate chain 
LOC413409	XM_016917082.2	 cytoplasmic dynein 1 intermediate chain 
LOC411469	XM_016917084.2	 integrator complex subunit 1 
LOC724807	XM_016917086.2	 protein FAM32A-like 
LOC726888	XM_016917090.2	 codanin-1 
LOC100578662	XM_016917092.2	 cadherin EGF LAG seven-pass G-type receptor 1 
LOC100578662	XM_016917093.2	 cadherin EGF LAG seven-pass G-type receptor 1 
LOC100578662	XM_016917094.2	 cadherin EGF LAG seven-pass G-type receptor 1 
LOC413891	XM_016917097.1	 NADH-ubiquinone oxidoreductase 49 kDa subunit 
LOC412187	XM_016917110.2	 broad-complex core protein isoforms 1/2/3/4/5 
LOC412187	XM_016917111.2	 broad-complex core protein isoforms 1/2/3/4/5 
LOC412187	XM_016917112.2	 broad-complex core protein isoforms 1/2/3/4/5 
LOC412187	XM_016917113.2	 broad-complex core protein isoforms 1/2/3/4/5 
LOC412455	XM_016917114.2	 protein shuttle craft 
LOC725007	XM_016917116.2	 spermine oxidase 
LOC102654520	XM_016917117.2	 putative uncharacterized protein DDB_G0282133 
LOC412943	XM_016917120.2	 uncharacterized LOC412943 
LOC412943	XM_016917121.2	 uncharacterized LOC412943 
LOC102655617	XM_016917122.2	 ribonuclease P protein subunit p20 
LOC725251	XM_016917123.2	 101 kDa malaria antigen 
LOC410642	XM_016917125.2	 homeobox protein abdominal-B 
LOC725315	XM_016917127.2	 uncharacterized LOC725315 
LOC411723	XM_016917133.2	 E3 ubiquitin-protein ligase Nedd-4 
LOC726935	XM_016917134.1	 cardioacceleratory peptide receptor 
LOC411723	XM_016917135.2	 E3 ubiquitin-protein ligase Nedd-4 
LOC107965706	XM_016917136.2	 uncharacterized LOC107965706 
LOC413407	XM_016917137.2	 transcription elongation factor B polypeptide 3 
LOC551280	XM_016917143.2	 uncharacterized LOC551280 
LOC551547	XM_016917147.2	 LIM and senescent cell antigen-like-containing domain protein 1 
LOC726864	XM_016917151.2	 uncharacterized LOC726864 
LOC410643	XM_016917154.2	 homeobox protein abdominal-A homolog 
LOC102656757	XM_016917155.2	 homeobox protein Hox-B4 
LOC551415	XM_016917173.2	 probable cytosolic iron-sulfur protein assembly protein Ciao1 
LOC409546	XM_016917174.2	 lachesin 
LOC102656403	XM_016917176.2	 histone-lysine N-methyltransferase SETMAR-like 
LOC408579	XM_016917179.2	 thrombospondin type-1 domain-containing protein 4 
LOC408579	XM_016917183.2	 thrombospondin type-1 domain-containing protein 4 
LOC408579	XM_016917185.2	 thrombospondin type-1 domain-containing protein 4 
LOC552115	XM_016917186.1	 12 kDa FK506-binding protein 
LOC725918	XM_016917190.2	 39S ribosomal protein L53, mitochondrial 
LOC411568	XM_016917193.2	 ribosomal oxygenase 1 
LOC107964024	XM_016917195.2	 hybrid signal transduction histidine kinase L-like 
LOC410161	XM_016917200.2	 afadin 
LOC410161	XM_016917210.2	 afadin 
LOC410161	XM_016917211.2	 afadin 
LOC410161	XM_016917212.2	 afadin 
LOC410161	XM_016917213.2	 afadin 
LOC551755	XM_016917217.2	 transmembrane protein 35A 
LOC724270	XM_016917220.2	 crustacean hyperglycemic hormones 
LOC724270	XM_016917221.2	 crustacean hyperglycemic hormones 
LOC100578943	XM_016917222.2	 transmembrane protein 258 
LOC107963982	XM_016917223.2	 protein tweety 
LOC107963982	XM_016917226.2	 protein tweety 
LOC107963982	XM_016917228.2	 protein tweety 
LOC107963982	XM_016917229.2	 protein tweety 
LOC107963982	XM_016917232.2	 protein tweety 
LOC107963982	XM_016917234.2	 protein tweety 
LOC409784	XM_016917237.2	 uncharacterized LOC409784 
LOC107963982	XM_016917239.2	 protein tweety 
LOC409556	XM_016917246.2	 protein SMG7 
LOC727415	XM_016917249.2	 protein-associating with the carboxyl-terminal domain of ezrin 
LOC412644	XM_016917274.2	 josephin-2 
LOC412644	XM_016917275.2	 josephin-2 
LOC102653814	XM_016917288.2	 uncharacterized LOC102653814 
LOC413577	XM_016917291.2	 serine/threonine-protein kinase 32B 
LOC413577	XM_016917293.2	 serine/threonine-protein kinase 32B 
LOC726834	XM_016917294.2	 mitochondrial inner membrane protease ATP23 homolog 
LOC413577	XM_016917297.2	 serine/threonine-protein kinase 32B 
LOC412853	XM_016917298.2	 brain tumor protein 
LOC412515	XM_016917306.2	 phospholipase B1, membrane-associated 
LOC411960	XM_016917312.2	 zinc finger protein 184 
LOC409144	XM_016917315.1	 H(+)/Cl(-) exchange transporter 3 
LOC100576348	XM_016917321.2	 uncharacterized LOC100576348 
LOC551581	XM_016917322.2	 N-acetylgalactosamine kinase 
LOC552200	XM_016917328.2	 probable histone-binding protein Caf1 
LOC726664	XM_016917333.2	 alpha-tubulin N-acetyltransferase 
LOC551269	XM_016917334.1	 HBS1-like protein 
LOC107963961	XM_016917335.2	 condensin complex subunit 2-like 
LOC551269	XM_016917336.1	 HBS1-like protein 
LOC412394	XM_016917337.2	 alpha-L-fucosidase 
LOC409387	XM_016917338.2	 ubiquitin carboxyl-terminal hydrolase 
LOC552437	XM_016917339.2	 phospholipid phosphatase 6 
LOC725281	XM_016917341.2	 probable malate dehydrogenase, mitochondrial 
LOC727393	XM_016917342.2	 putative SERF-like protein 
LOC551157	XM_016917343.2	 nascent polypeptide-associated complex subunit alpha 
LOC726053	XM_016917345.2	 EH domain-binding protein 1 
LOC726053	XM_016917346.2	 EH domain-binding protein 1 
LOC726053	XM_016917347.2	 EH domain-binding protein 1 
LOC552418	XM_016917348.2	 cytochrome P450 6k1 
LOC727618	XM_016917349.2	 farnesyl pyrophosphate synthase 
LOC551157	XM_016917350.2	 nascent polypeptide-associated complex subunit alpha 
LOC100577522	XM_016917352.2	 uncharacterized LOC100577522 
LOC100577522	XM_016917353.2	 uncharacterized LOC100577522 
LOC100577522	XM_016917357.2	 uncharacterized LOC100577522 
LOC107965788	XM_016917359.2	 probable serine/threonine-protein kinase DDB_G0279719 
LOC412053	XM_016917365.2	 reticulocyte-binding protein 2 
LOC412053	XM_016917366.2	 reticulocyte-binding protein 2 
LOC551953	XM_016917368.2	 ribonuclease P protein subunit p40 
LOC551999	XM_016917369.2	 kinesin-associated protein 3 
LOC551999	XM_016917370.2	 kinesin-associated protein 3 
LOC412065	XM_016917387.2	 proton-coupled amino acid transporter 4 
LOC100578805	XM_016917389.2	 putative malate dehydrogenase 1B 
LOC409402	XM_016917404.2	 uncharacterized LOC409402 
LOC409402	XM_016917406.2	 uncharacterized LOC409402 
LOC552029	XM_016917409.2	 uncharacterized LOC552029 
LOC102655897	XM_016917412.2	 uncharacterized LOC102655897 
LOC409388	XM_016917414.2	 ras-related protein Rab-18-B 
LOC100577752	XM_016917415.2	 F-box only protein 43-like 
LOC107965801	XM_016917418.2	 uncharacterized LOC107965801 
LOC412278	XM_016917423.1	 tuberin 
LOC100578734	XM_016917425.2	 uncharacterized protein C1orf131 homolog 
LOC724527	XM_016917428.2	 coiled-coil domain-containing protein 28A 
LOC100578734	XM_016917429.2	 uncharacterized protein C1orf131 homolog 
LOC100576270	XM_016917436.2	 2-iminobutanoate/2-iminopropanoate deaminase 
LOC412721	XM_016917437.2	 nuclear pore complex protein Nup155 
LOC413578	XM_016917438.2	 U2 snRNP-associated SURP motif-containing protein 
LOC726108	XM_016917439.2	 E3 ubiquitin-protein ligase MSL2 
LOC412721	XM_016917440.2	 nuclear pore complex protein Nup155 
LOC726108	XM_016917441.2	 E3 ubiquitin-protein ligase MSL2 
LOC411535	XM_016917449.2	 rho GTPase-activating protein 44 
LOC412316	XM_016917454.2	 sodium/potassium/calcium exchanger 3 
LOC411976	XM_016917455.2	 sodium/potassium/calcium exchanger 4 
LOC411976	XM_016917456.2	 sodium/potassium/calcium exchanger 4 
LOC411781	XM_016917459.2	 sodium/potassium/calcium exchanger 4 
LOC100577753	XM_016917460.2	 uncharacterized LOC100577753 
LOC552677	XM_016917465.2	 protein polybromo-1 
LOC552599	XM_016917466.2	 DNA-directed RNA polymerase II subunit RPB7 
LOC552677	XM_016917467.2	 protein polybromo-1 
LOC552677	XM_016917468.2	 protein polybromo-1 
LOC552677	XM_016917469.2	 protein polybromo-1 
LOC552677	XM_016917470.2	 protein polybromo-1 
LOC552677	XM_016917471.2	 protein polybromo-1 
LOC552677	XM_016917472.2	 protein polybromo-1 
LOC552662	XM_016917475.2	 non-canonical poly(A) RNA polymerase PAPD5-like 
LOC102656132	XM_016917476.2	 structure-specific endonuclease subunit slx1 
LOC550926	XM_016917477.2	 phosphomannomutase 
LOC551205	XM_016917481.1	 neutral alpha-glucosidase AB 
rtGEF	XM_016917490.2	 rho-type guanine exchange factor 
rtGEF	XM_016917491.2	 rho-type guanine exchange factor 
LOC725527	XM_016917492.2	 cytochrome b-c1 complex subunit Rieske, mitochondrial 
LOC725527	XM_016917493.2	 cytochrome b-c1 complex subunit Rieske, mitochondrial 
LOC107964025	XM_016917494.2	 uncharacterized LOC107964025 
LOC107964025	XM_016917495.2	 uncharacterized LOC107964025 
LOC107964025	XM_016917496.2	 uncharacterized LOC107964025 
LOC107965825	XM_016917508.2	 uncharacterized LOC107965825 
LOC726483	XM_016917514.2	 isoleucine--tRNA ligase, mitochondrial 
LOC726483	XM_016917515.2	 isoleucine--tRNA ligase, mitochondrial 
LOC726483	XM_016917516.2	 isoleucine--tRNA ligase, mitochondrial 
LOC726483	XM_016917517.2	 isoleucine--tRNA ligase, mitochondrial 
LOC726483	XM_016917518.2	 isoleucine--tRNA ligase, mitochondrial 
LOC411811	XM_016917520.2	 xenotropic and polytropic retrovirus receptor 1-like 
LOC100578349	XM_016917523.2	 uncharacterized LOC100578349 
LOC725337	XM_016917527.2	 tRNA modification GTPase GTPBP3, mitochondrial 
LOC552779	XM_016917541.2	 ubiquitin-conjugating enzyme E2 G2 
LOC552774	XM_016917542.2	 60S ribosomal protein L28 
LOC551936	XM_016917544.2	 facilitated trehalose transporter Tret1 
LOC552032	XM_016917545.2	 uncharacterized protein C1orf198 homolog 
LOC551907	XM_016917546.2	 kelch domain-containing protein 4 
LOC410688	XM_016917552.2	 RNA-binding protein 5 
Rga	XM_016917553.2	 regulator of gene activity protein 
LOC409032	XM_016917556.2	 peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase 
