Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
LOC552362	-2081.659821	-2081.643922	0.031798	Habro	Random	 protein lin-7 homolog C 	0.858471722123015	1
LOC552363	-6761.57109	-6759.146285	4.84961	Habro	Random	 TBC1 domain family member 23 	0.027652383847579	1
LOC552365	-5837.248783	-5837.248783	0	Habro	Random	 protein lines 	1	1
LOC552367	-6860.164773	-6860.164773	0	Habro	Random	 neuronal PAS domain-containing protein 4 	1	1
LOC552370	-26186.474168	-26186.474168	0	Habro	Random	 neurofibromin 	1	1
LOC552371	-9409.157915	-9405.097593	8.12064	Habro	Random	 ATP-binding cassette sub-family G member 4 	0.00437641063772377	1
LOC552372	-3164.266277	-3143.178296	42.176	Habro	Random	 ER membrane protein complex subunit 8/9 homolog 	8.34174893341908e-11	4.16503524245615e-07
LOC552373	-3082.374262	-3082.374262	0	Habro	Random	 dolichyldiphosphatase 1 	1	1
LOC552374	-4077.644913	-4077.644913	0	Habro	Random	 protein Wnt-1 	1	1
LOC552379	-8904.879646	-8902.11832	5.52265	Habro	Random	 TBC1 domain family member 15 	0.0187718014673564	1
LOC552382	-14155.883461	-14155.883461	0	Habro	Random	 alpha-mannosidase 2 	1	1
LOC552383	-3237.590589	-3237.590589	0	Habro	Random	 PQ-loop repeat-containing protein 1 	1	1
LOC552384	-4807.37223	-4807.37223	0	Habro	Random	 COP9 signalosome complex subunit 3 	1	1
LOC552386	-4574.450639	-4574.450639	0	Habro	Random	 anamorsin homolog 	1	1
LOC552387	-1716.817438	-1716.817438	0	Habro	Random	 UDP-galactose transporter senju 	1	1
LOC552399	-24221.597712	-24221.106282	0.98286	Habro	Random	 uncharacterized LOC552399 	0.321493736797307	1
LOC552401	-9355.155108	-9351.921483	6.46725	Habro	Random	 protein cueball 	0.0109880432096343	1
LOC552405	-3366.425335	-3366.425335	0	Habro	Random	 GPN-loop GTPase 2 	1	1
LOC552407	-8451.277215	-8449.975717	2.603	Habro	Random	 UNC93-like protein MFSD11 	0.106661640756144	1
LOC552409	-4400.91976	-4400.91976	0	Habro	Random	 G patch domain-containing protein 4 	1	1
LOC552412	-7547.076336	-7547.076336	0	Habro	Random	 probable protein phosphatase CG10417 	1	1
LOC552414	-26969.612398	-26969.612398	0	Habro	Random	 protein disabled 	1	1
LOC552420	-4930.675317	-4930.675317	0	Habro	Random	 KICSTOR complex protein C12orf66 homolog 	1	1
LOC552422	-4693.222407	-4690.136273	6.17227	Habro	Random	 trafficking protein particle complex subunit 13 	0.0129767995981753	1
LOC552428	-11375.817265	-11375.709057	0.216416	Habro	Random	 uncharacterized LOC552428 	0.641784421431507	1
LOC552429	-3074.342182	-3074.342182	0	Habro	Random	 peroxiredoxin-5, mitochondrial 	1	1
LOC552430	-1912.149456	-1912.149456	0	Habro	Random	 N-acylneuraminate-9-phosphatase 	1	1
LOC552434	-5291.304248	-5291.304248	0	Habro	Random	 CCR4-NOT transcription complex subunit 11 	1	1
LOC552437	-3364.578107	-3364.578107	0	Habro	Random	 phospholipid phosphatase 6 	1	1
LOC552439	-13206.044046	-13205.468009	1.15207	Habro	Random	 WD repeat-containing protein 3 	0.283116245050364	1
LOC552440	-2106.069245	-2106.069245	0	Habro	Random	 histone chaperone asf1 	1	1
LOC552442	-2817.792818	-2817.792818	0	Habro	Random	 trafficking protein particle complex subunit 4 	1	1
LOC552444	-3777.479433	-3776.814749	1.32937	Habro	Random	 polyglutamine-binding protein 1 	0.248917326352968	1
LOC552445	-4978.893181	-4978.893181	0	Habro	Random	 60S ribosomal protein L3 	1	1
LOC552447	-5748.018366	-5744.62578	6.78517	Habro	Random	 clavesin-2 	0.00919182757269105	1
LOC552448	-1776.462264	-1776.462264	0	Habro	Random	 ADP-ribosylation factor-like protein 8B-A 	1	1
LOC552450	-4145.511399	-4140.744334	9.53413	Habro	Random	 DNA repair protein RAD51 homolog A 	0.00201685754889058	1
LOC552452	-4424.617579	-4424.617579	0	Habro	Random	 interleukin enhancer-binding factor 2 homolog 	1	1
LOC552461	-1703.404847	-1702.896905	1.01588	Habro	Random	 uncharacterized LOC552461 	0.313498282144305	1
LOC552462	-1532.542125	-1532.542125	0	Habro	Random	 TM2 domain-containing protein CG10795 	1	1
LOC552467	-7055.872146	-7055.872144	4e-06	Habro	Random	 RNA-binding protein spenito 	0.99840423194224	1
LOC552468	-13490.575808	-13490.575808	0	Habro	Random	 MATH and LRR domain-containing protein PFE0570w-like 	1	1
LOC552469	-2721.651202	-2721.651202	0	Habro	Random	 cyclin-dependent kinase 20 	1	1
LOC552472	-7750.433042	-7750.433042	0	Habro	Random	 eukaryotic translation initiation factor 2-alpha kinase 1 	1	1
LOC552473	-6032.530457	-6032.530457	0	Habro	Random	 USP6 N-terminal-like protein 	1	1
LOC552481	-1598.830707	-1598.830707	0	Habro	Random	 INO80 complex subunit C 	1	1
LOC552482	-7664.214458	-7662.093687	4.24154	Habro	Random	 protoporphyrinogen oxidase 	0.0394463708251845	1
LOC552486	-2381.738693	-2381.738693	0	Habro	Random	 F-actin-capping protein subunit alpha 	1	1
LOC552487	-2382.158641	-2382.158641	0	Habro	Random	 uncharacterized LOC552487 	1	1
LOC552489	-6076.530651	-6076.13343	0.794442	Habro	Random	 SEC14-like protein 2 	0.37276033287695	1
LOC552490	-3082.515218	-3077.801967	9.4265	Habro	Random	 uncharacterized LOC552490 	0.00213872086329849	1
LOC552491	-6343.01131	-6343.01131	0	Habro	Random	 NADPH-dependent diflavin oxidoreductase 1 	1	1
LOC552492	-3301.692341	-3297.449764	8.48515	Habro	Random	 dual specificity protein phosphatase 3 	0.00358057056263437	1
LOC552493	-4124.230957	-4124.093734	0.274446	Habro	Random	 estradiol 17-beta-dehydrogenase 8 	0.600364830612411	1
LOC552494	-1083.038257	-1083.008573	0.059368	Habro	Random	 60S ribosomal protein L37 	0.807497644838282	1
LOC552497	-10708.543872	-10692.202577	32.6826	Habro	Random	 roquin-1 	1.08504206024593e-08	5.38506374500056e-05
LOC552498	-14105.846211	-14105.829128	0.034166	Habro	Random	 DNA repair protein complementing XP-C cells homolog 	0.85335416290429	1
LOC552499	-3403.742268	-3402.997796	1.48894	Habro	Random	 ubiquitin domain-containing protein UBFD1 	0.22238099767544	1
LOC552502	-28395.556208	-28395.331982	0.448452	Habro	Random	 protein KIAA0100 	0.503070993000002	1
LOC552503	-5255.12666	-5255.12666	0	Habro	Random	 PDZ domain-containing protein GIPC3 	1	1
LOC552505	-12181.457462	-12181.457462	0	Habro	Random	 monocarboxylate transporter 9 	1	1
LOC552508	-10733.932403	-10733.932403	0	Habro	Random	 kinesin 6A 	1	1
LOC552509	-2432.51786	-2432.21689	0.60194	Habro	Random	 MKI67 FHA domain-interacting nucleolar phosphoprotein-like 	0.437838784074695	1
LOC552514	-2657.995981	-2657.995981	0	Habro	Random	 HD domain-containing protein 2 	1	1
LOC552515	-3969.986531	-3969.986531	0	Habro	Random	 ATP-dependent RNA helicase WM6 	1	1
LOC552517	-1833.838807	-1833.838807	0	Habro	Random	 60S ribosomal protein L13 	1	1
LOC552523	-7013.357086	-7012.614575	1.48502	Habro	Random	 L-threonine ammonia-lyase 	0.222990745447584	1
LOC552524	-6705.952425	-6705.081238	1.74237	Habro	Random	 nicotinamidase 	0.186838812055406	1
LOC552527	-7151.460877	-7151.460877	0	Habro	Random	 cell division cycle 5-like protein 	1	1
LOC552530	-5646.222569	-5646.222569	0	Habro	Random	 NGFI-A-binding protein homolog 	1	1
LOC552532	-12862.397245	-12862.283585	0.22732	Habro	Random	 probable leucine--tRNA ligase, mitochondrial 	0.633518167817074	1
LOC552534	-2256.260234	-2256.260234	0	Habro	Random	 uncharacterized LOC552534 	1	1
LOC552535	-15133.839509	-15132.953883	1.77125	Habro	Random	 adenylate cyclase type 9 	0.183227457328276	1
LOC552539	-2043.923048	-2043.923048	0	Habro	Random	 density-regulated protein homolog 	1	1
LOC552540	-8189.511972	-8187.634373	3.7552	Habro	Random	 conserved oligomeric Golgi complex subunit 5 	0.0526434974806392	1
LOC552542	-10048.838735	-10048.828487	0.020496	Habro	Random	 muskelin 	0.886160470132711	1
LOC552545	-2790.50089	-2788.255111	4.49156	Habro	Random	 division abnormally delayed protein 	0.0340625810261044	1
LOC552546	-8003.637977	-7996.680529	13.9149	Habro	Random	 protocadherin Fat 4 	0.000191276136371145	0.91869928299061
LOC552550	-11031.142031	-11031.142031	0	Habro	Random	 brain tumor protein-like 	1	1
LOC552552	-18726.990048	-18724.978642	4.02281	Habro	Random	 uncharacterized LOC552552 	0.0448888637569828	1
LOC552554	-5666.578829	-5666.578829	0	Habro	Random	 RNA 3'-terminal phosphate cyclase 	1	1
LOC552555	-2890.285617	-2890.285617	0	Habro	Random	 synaptobrevin homolog YKT6 	1	1
LOC552556	-4027.159392	-4027.159392	0	Habro	Random	 arginase-1 	1	1
LOC552558	-3642.295654	-3642.295654	0	Habro	Random	 uncharacterized LOC552558 	1	1
LOC552560	-1318.165501	-1318.165501	0	Habro	Random	 protein phosphatase 1 regulatory subunit 14C 	1	1
LOC552563	-4754.182329	-4754.182329	0	Habro	Random	 transcription initiation factor TFIID subunit 7 	1	1
LOC552564	-1226.275389	-1226.275389	0	Habro	Random	 40S ribosomal protein S7 	1	1
LOC552567	-4620.791571	-4614.492798	12.5975	Habro	Random	 DEAD-box helicase Dbp80 	0.000386263056218998	1
LOC552568	-3187.995046	-3187.995046	0	Habro	Random	 hydroxyacylglutathione hydrolase, mitochondrial 	1	1
LOC552569	-8633.695983	-8633.695983	0	Habro	Random	 atypical kinase COQ8B, mitochondrial 	1	1
LOC552572	-1463.918236	-1463.918236	0	Habro	Random	 eukaryotic translation initiation factor 5A 	1	1
LOC552574	-7880.458735	-7860.686323	39.5448	Habro	Random	 exocyst complex component 5 	3.20619027911568e-10	1.59828585413916e-06
LOC552577	-1852.266414	-1850.757658	3.01751	Habro	Random	 junctophilin-1 	0.0823698469802339	1
LOC552578	-8537.077041	-8535.824784	2.50451	Habro	Random	 uncharacterized LOC552578 	0.113520788808639	1
LOC552579	-2568.278027	-2568.278027	0	Habro	Random	 proteasome subunit beta type-3 	1	1
LOC552580	-18301.769721	-18301.769721	0	Habro	Random	 zinc finger MYM-type protein 3 	1	1
LOC552582	-5816.826499	-5816.826499	0	Habro	Random	 brahma-associated protein of 60 kDa 	1	1
LOC552583	-2952.986851	-2949.7283	6.5171	Habro	Random	 guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 	0.0106842082549426	1
LOC552593	-5374.737219	-5374.737219	0	Habro	Random	 39S ribosomal protein L19, mitochondrial 	1	1
LOC552595	-4401.796302	-4401.796302	0	Habro	Random	 mitochondrial ornithine transporter 1 	1	1
LOC552596	-3869.932865	-3869.932865	0	Habro	Random	 peroxisome assembly protein 12 	1	1
LOC552601	-3534.254483	-3534.254483	0	Habro	Random	 lys-63-specific deubiquitinase BRCC36 	1	1
LOC552603	-6200.174052	-6200.174052	0	Habro	Random	 KDEL motif-containing protein 1 	1	1
LOC552605	-14145.38167	-14145.38167	0	Habro	Random	 lisH domain and HEAT repeat-containing protein KIAA1468 homolog 	1	1
LOC552610	-1632.628269	-1631.04651	3.16352	Habro	Random	 cytochrome c oxidase subunit 5B, mitochondrial 	0.0753006580235472	1
LOC552611	-4910.880291	-4910.880291	0	Habro	Random	 protein ABHD4 	1	1
LOC552612	-4322.587415	-4322.587415	0	Habro	Random	 uncharacterized LOC552612 	1	1
LOC552614	-2191.413171	-2191.413171	0	Habro	Random	 E3 ubiquitin-protein ligase ZNRF2 	1	1
LOC552616	-1675.14788	-1675.1452	0.00536	Habro	Random	 iron-sulfur cluster assembly 1 homolog, mitochondrial 	0.941637400788291	1
LOC552617	-4132.007825	-4132.007825	0	Habro	Random	 cyclin-dependent kinase 14 	1	1
LOC552623	-2538.917899	-2538.917899	0	Habro	Random	 vacuolar fusion protein CCZ1 homolog 	1	1
LOC552624	-10621.631331	-10621.631331	0	Habro	Random	 asparagine-rich protein 	1	1
LOC552625	-7569.458956	-7569.458956	0	Habro	Random	 rab-like protein 6 	1	1
LOC552628	-3656.624288	-3656.624288	0	Habro	Random	 39S ribosomal protein L18, mitochondrial 	1	1
LOC552632	-1769.582218	-1767.607045	3.95035	Habro	Random	 60S ribosomal protein L22 	0.0468616201441057	1
LOC552633	-8312.057805	-8311.663049	0.789512	Habro	Random	 stAR-related lipid transfer protein 7, mitochondrial 	0.374247726768244	1
LOC552634	-4562.725715	-4562.725715	0	Habro	Random	 zinc transporter 1 	1	1
LOC552635	-3433.855243	-3431.930963	3.84856	Habro	Random	 frataxin homolog, mitochondrial 	0.0497887196783909	1
LOC552636	-7917.832523	-7917.832523	0	Habro	Random	 dipeptidase 1 	1	1
LOC552639	-1049.223611	-1048.483231	1.48076	Habro	Random	 acylphosphatase-1 	0.223655651106791	1
LOC552640	-6448.395378	-6448.395378	0	Habro	Random	 ammonium transporter 1-like 	1	1
LOC552642	-11727.486772	-11704.295916	46.3817	Habro	Random	 DNA replication licensing factor Mcm3 	9.73202054473966e-12	4.86892987853325e-08
LOC552644	-4541.560415	-4541.560415	0	Habro	Random	 lipoyl synthase, mitochondrial 	1	1
LOC552645	-2178.022549	-2178.022549	0	Habro	Random	 mesencephalic astrocyte-derived neurotrophic factor homolog 	1	1
LOC552647	-10184.508147	-10184.508147	0	Habro	Random	 E3 ubiquitin-protein ligase Bre1 	1	1
LOC552648	-3205.373424	-3205.373424	0	Habro	Random	 GPN-loop GTPase 3 	1	1
LOC552649	-3055.69725	-3055.69725	0	Habro	Random	 elongation factor 1-beta' 	1	1
LOC552651	-3345.341073	-3320.313128	50.0559	Habro	Random	 stress response protein NST1 	1.49427817500327e-12	7.48782793494136e-09
LOC552652	-5020.069324	-5020.069324	0	Habro	Random	 origin recognition complex subunit 4 	1	1
LOC552653	-5715.297718	-5715.297718	0	Habro	Random	 equilibrative nucleoside transporter 3 	1	1
LOC552657	-11939.425444	-11939.425444	0	Habro	Random	 phosphoribosylformylglycinamidine synthase 	1	1
LOC552659	-3209.754251	-3209.754251	0	Habro	Random	 optic atrophy 3 protein homolog 	1	1
LOC552663	-3703.266771	-3703.266771	0	Habro	Random	 pyridoxal kinase 	1	1
LOC552664	-10476.312374	-10475.491909	1.64093	Habro	Random	 probable ATP-dependent RNA helicase DDX28 	0.200197916183268	1
LOC552667	-1817.930112	-1817.930112	0	Habro	Random	 protein charybde 	1	1
LOC552669	-2113.716467	-2113.716467	0	Habro	Random	 protein will die slowly 	1	1
LOC552672	-7524.9689	-7523.582392	2.77302	Habro	Random	 proclotting enzyme 	0.0958651385523677	1
LOC552675	-3259.52064	-3259.52064	0	Habro	Random	 myoneurin 	1	1
LOC552676	-5775.144315	-5775.144315	0	Habro	Random	 39S ribosomal protein L3, mitochondrial 	1	1
LOC552677	-12988.116335	-12972.403802	31.4251	Habro	Random	 protein polybromo-1 	2.07283869462815e-08	0.000102750614092718
LOC552678	-5426.750609	-5426.750609	0	Habro	Random	 enolase 	1	1
LOC552679	-3257.331564	-3257.331564	0	Habro	Random	 cytochrome P450 4c3 	1	1
LOC552681	-10449.768734	-10449.397445	0.742578	Habro	Random	 sec1 family domain-containing protein 2 	0.388836302256815	1
LOC552682	-2332.882563	-2324.641312	16.4825	Habro	Random	 ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit 	4.91011956150473e-05	0.237944393950519
LOC552683	-6077.252683	-6076.311594	1.88218	Habro	Random	 chitinase domain-containing protein 1 	0.170086583258723	1
LOC552689	-3932.918787	-3930.361008	5.11556	Habro	Random	 estradiol 17-beta-dehydrogenase 11 	0.0237122121809765	1
LOC552691	-7367.615544	-7361.898285	11.4345	Habro	Random	 serine/threonine-protein kinase VRK1 	0.000720928721155523	1
LOC552692	-5211.027577	-5211.027577	0	Habro	Random	 D-aspartate oxidase 	1	1
LOC552697	-9606.880608	-9600.048963	13.6633	Habro	Random	 zinc transporter foi 	0.000218686834937954	1
LOC552698	-5634.827379	-5634.827379	0	Habro	Random	 protein fuzzy homolog 	1	1
LOC552699	-3431.410236	-3431.376714	0.067044	Habro	Random	 ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 	0.79569036052803	1
LOC552700	-8061.601982	-8061.601982	0	Habro	Random	 cullin-3 	1	1
LOC552701	-3813.325411	-3813.325411	0	Habro	Random	 NAD-dependent protein deacylase sirtuin-5, mitochondrial 	1	1
LOC552704	-3593.819046	-3593.591862	0.454368	Habro	Random	 magnesium transporter NIPA2 	0.500267926518848	1
LOC552705	-2185.319211	-2184.372557	1.89331	Habro	Random	 protein jagunal 	0.168829058416078	1
LOC552708	-6183.552847	-6182.224358	2.65698	Habro	Random	 major facilitator superfamily domain-containing protein 10 	0.103096310628181	1
LOC552710	-8362.052657	-8362.052657	0	Habro	Random	 asparagine synthetase domain-containing 	1	1
LOC552712	-3411.209874	-3411.209874	0	Habro	Random	 6-phosphogluconate dehydrogenase, decarboxylating 	1	1
LOC552714	-10835.670744	-10835.670744	0	Habro	Random	 conserved oligomeric Golgi complex subunit 2 	1	1
LOC552717	-4588.625968	-4582.959283	11.3334	Habro	Random	 hydroxysteroid dehydrogenase-like protein 2 	0.000761253949058863	1
LOC552718	-12990.777186	-12990.777186	0	Habro	Random	 protein son of sevenless 	1	1
LOC552722	-4094.840581	-4094.04617	1.58882	Habro	Random	 glyoxalase domain-containing protein 4 	0.207494803929199	1
LOC552724	-13749.870582	-13744.952652	9.83586	Habro	Random	 zinc finger CCCH domain-containing protein 13 	0.00171142248165467	1
LOC552726	-1442.124767	-1442.124767	0	Habro	Random	 40S ribosomal protein S18 	1	1
LOC552727	-2838.94967	-2838.918899	0.061542	Habro	Random	 mitochondrial import inner membrane translocase subunit Tim23 	0.804075139471993	1
LOC552728	-7609.821631	-7605.419891	8.80348	Habro	Random	 uncharacterized LOC552728 	0.00300656519086497	1
LOC552731	-9496.094239	-9495.883499	0.42148	Habro	Random	 uncharacterized protein DDB_G0290301 	0.516199475400952	1
LOC552732	-1917.765818	-1917.765818	0	Habro	Random	 alpha-ketoglutarate-dependent dioxygenase alkB homolog 6 	1	1
LOC552733	-4003.672103	-4003.672103	0	Habro	Random	 aurora kinase B 	1	1
LOC552735	-2755.220799	-2755.220799	0	Habro	Random	 uncharacterized LOC552735 	1	1
LOC552736	-3189.624284	-3189.624284	0	Habro	Random	 phosphoglycerate mutase 2 	1	1
LOC552738	-8668.705723	-8653.455841	30.4998	Habro	Random	 2-hydroxyacyl-CoA lyase 1-like 	3.33900928108233e-08	0.00016544790987763
LOC552740	-3590.3322	-3588.956385	2.75163	Habro	Random	 S-methyl-5'-thioadenosine phosphorylase 	0.0971553372325165	1
LOC552744	-9856.138131	-9854.734178	2.80791	Habro	Random	 ATP-binding cassette sub-family B member 10, mitochondrial 	0.0938005070694986	1
LOC552746	-4374.352839	-4374.352839	0	Habro	Random	 17-beta-hydroxysteroid dehydrogenase 13 	1	1
LOC552749	-1583.905662	-1583.903482	0.00436	Habro	Random	 sodium/potassium-transporting ATPase subunit beta-1-interacting protein 	0.947353705299285	1
LOC552750	-8438.261622	-8438.261622	0	Habro	Random	 X-ray repair cross-complementing protein 5 	1	1
LOC552752	-12782.165979	-12774.906298	14.5194	Habro	Random	 symplekin 	0.000138723579732108	0.667954036410098
LOC552753	-3564.008352	-3564.008352	0	Habro	Random	 uncharacterized LOC552753 	1	1
LOC552755	-4146.959867	-4146.810417	0.2989	Habro	Random	 probable GDP-L-fucose synthase 	0.584572845082828	1
LOC552757	-12383.971879	-12382.152764	3.63823	Habro	Random	 probable peroxisomal acyl-coenzyme A oxidase 1 	0.0564669357149017	1
LOC552759	-8538.859258	-8538.400539	0.917438	Habro	Random	 cyclin-dependent kinase 11A 	0.338148570199545	1
LOC552763	-7953.134472	-7953.134472	0	Habro	Random	 cell division control protein 6 homolog 	1	1
LOC552764	-6573.052762	-6573.052762	0	Habro	Random	 eukaryotic translation initiation factor 2A 	1	1
LOC552765	-13364.827938	-13364.827938	0	Habro	Random	 zinc finger CCCH domain-containing protein 13 	1	1
LOC552768	-5465.372272	-5465.372272	0	Habro	Random	 phenylalanine--tRNA ligase alpha subunit 	1	1
LOC552771	-5648.667866	-5647.98632	1.36309	Habro	Random	 hydroxyacid oxidase 1 	0.243002674714421	1
LOC552773	-4598.531873	-4597.979334	1.10508	Habro	Random	 protein takeout 	0.293153953454158	1
LOC552774	-1902.388661	-1902.213617	0.350088	Habro	Random	 60S ribosomal protein L28 	0.554063319634813	1
LOC552780	-2611.480883	-2608.204369	6.55303	Habro	Random	 ribonuclease P/MRP protein subunit POP5 	0.0104705699956006	1
LOC552781	-2106.169587	-2106.169587	0	Habro	Random	 H/ACA ribonucleoprotein complex subunit 2-like protein 	1	1
LOC552782	-15452.165367	-15449.928699	4.47334	Habro	Random	 dentin sialophosphoprotein 	0.0344276302735041	1
LOC552784	-28.981899	-28.981899	0	Habro	Random	 uncharacterized LOC552784 	1	1
LOC552786	-2672.546982	-2672.546982	0	Habro	Random	 charged multivesicular body protein 2a 	1	1
LOC552788	-5463.174551	-5462.730942	0.887218	Habro	Random	 uncharacterized LOC552788 	0.346232318579174	1
LOC552790	-5473.935727	-5471.688443	4.49457	Habro	Random	 peroxisomal biogenesis factor 3 	0.0340026642265097	1
LOC552791	-1914.351376	-1914.246581	0.20959	Habro	Random	 MIP18 family protein galla-2 	0.647088947709411	1
LOC552793	-3958.585047	-3958.585047	0	Habro	Random	 F-box only protein 32 	1	1
LOC552798	-13413.712627	-13413.712627	0	Habro	Random	 putative sodium-coupled neutral amino acid transporter 10 	1	1
LOC552800	-12770.859784	-12770.859784	0	Habro	Random	 metal transporter CNNM4 	1	1
LOC552801	-4522.45581	-4522.45581	0	Habro	Random	 mitoferrin-1 	1	1
LOC552806	-9151.13506	-9151.13506	0	Habro	Random	 fidgetin-like protein 1 	1	1
LOC552811	-13352.119198	-13344.460945	15.3165	Habro	Random	 laccase-5 	9.09189053104793e-05	0.439047393744304
LOC552812	-15230.981625	-15229.983986	1.99528	Habro	Random	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A 	0.157789902142938	1
LOC552814	-30603.415548	-30603.415548	0	Habro	Random	 activating signal cointegrator 1 complex subunit 3 	1	1
LOC552815	-4185.270163	-4185.180295	0.179736	Habro	Random	 high mobility group protein 20A 	0.671600216172324	1
LOC552816	-4120.77864	-4120.77864	0	Habro	Random	 vesicular integral-membrane protein VIP36 	1	1
LOC552818	-12000.193583	-12000.193583	0	Habro	Random	 wolframin 	1	1
LOC552820	-3115.774163	-3115.76488	0.018566	Habro	Random	 forkhead box protein N3 	0.891618028922274	1
LOC552823	-4688.424779	-4687.26069	2.32818	Habro	Random	 malonyl-CoA decarboxylase, mitochondrial 	0.127050345251617	1
LOC552824	-4385.044591	-4385.044591	0	Habro	Random	 actin-like protein 6B 	1	1
LOC552828	-3538.57619	-3537.349125	2.45413	Habro	Random	 protein FRG1 homolog 	0.11721609805419	1
LOC552830	-3170.300792	-3169.818333	0.964918	Habro	Random	 alpha-soluble NSF attachment protein 	0.325950893798183	1
LOC552831	-3690.285332	-3690.285332	0	Habro	Random	 AKT-interacting protein 	1	1
LOC552833	-4332.23115	-4332.23115	0	Habro	Random	 pre-mRNA-splicing regulator female-lethal(2)D 	1	1
LOC552835	-2072.129842	-2072.129842	0	Habro	Random	 glutaredoxin-related protein 5, mitochondrial 	1	1
LOC552838	-3108.101332	-3108.030102	0.14246	Habro	Random	 26S proteasome non-ATPase regulatory subunit 8 	0.705847584175906	1
LOC552840	-3131.896049	-3131.896049	0	Habro	Random	 deoxynucleoside kinase 	1	1
LOC552841	-4640.35183	-4640.35183	0	Habro	Random	 intraflagellar transport protein 57 homolog 	1	1
LOC552842	-3015.781217	-3015.781217	0	Habro	Random	 uncharacterized protein C1orf43 homolog 	1	1
LOC552843	-14176.54171	-14176.54171	0	Habro	Random	 uncharacterized LOC552843 	1	1
LOC552844	-1653.331218	-1650.77069	5.12106	Habro	Random	 complexin 	0.0236371739178012	1
LOC552845	-9984.962079	-9984.962079	0	Habro	Random	 vacuolar protein sorting-associated protein 51 homolog 	1	1
LOC552846	-5048.311031	-5046.561843	3.49838	Habro	Random	 dnaJ homolog subfamily C member 17 	0.0614288914292672	1
LOC552847	-2304.563611	-2304.563611	0	Habro	Random	 ubiquitin domain-containing protein 1 	1	1
LOC552848	-8828.109743	-8828.082876	0.053734	Habro	Random	 MMS19 nucleotide excision repair protein homolog 	0.816688732901893	1
LOC552849	-1441.412712	-1441.412712	0	Habro	Random	 polyadenylate-binding protein-interacting protein 2 	1	1
LOC552850	-9145.774718	-9145.774718	0	Habro	Random	 catenin alpha 	1	1
LOC552851	-6310.407544	-6310.218306	0.378476	Habro	Random	 crossover junction endonuclease EME1 	0.538419985908109	1
LOC724117	-3517.130491	-3517.130491	0	Habro	Random	 uncharacterized LOC724117 	1	1
LOC724118	-2438.955555	-2438.955555	0	Habro	Random	 mitochondrial fission regulator 2 	1	1
LOC724121	-1743.68074	-1743.68074	0	Habro	Random	 uncharacterized LOC724121 	1	1
LOC724123	-8194.658771	-8194.518598	0.280346	Habro	Random	 translation initiation factor eIF-2B subunit delta 	0.596474525741209	1
LOC724125	-4373.573578	-4364.91188	17.3234	Habro	Random	 28S ribosomal protein S7, mitochondrial 	3.15280503830202e-05	0.153194796811095
LOC724128	-1522.870407	-1522.870407	0	Habro	Random	 actin-related protein 2/3 complex subunit 5 	1	1
LOC724131	-2605.339784	-2605.339784	0	Habro	Random	 nucleoside diphosphate kinase 6 	1	1
LOC724133	-7048.31242	-7047.516465	1.59191	Habro	Random	 peptide chain release factor 1 	0.207053460243588	1
LOC724138	-3901.658866	-3901.658866	0	Habro	Random	 igLON family member 5 	1	1
LOC724141	-967.704031	-967.704031	0	Habro	Random	 protein yippee-like 5 	1	1
LOC724142	-1801.036419	-1801.036419	0	Habro	Random	 60S ribosomal protein L24 	1	1
LOC724144	-753.154146	-753.154146	0	Habro	Random	 enhancer of rudimentary homolog 	1	1
LOC724146	-3626.406387	-3626.406387	0	Habro	Random	 paired box protein Pax-6 	1	1
LOC724148	-363.373172	-363.373165	1.4e-05	Habro	Random	 homeobox protein MSX-2 	0.997014596305223	1
LOC724150	-9489.714781	-9489.714781	0	Habro	Random	 B-cell lymphoma/leukemia 11B 	1	1
LOC724151	-5115.742011	-5115.742011	0	Habro	Random	 programmed cell death protein 2 	1	1
LOC724152	-4628.017011	-4628.017011	0	Habro	Random	 uncharacterized LOC724152 	1	1
LOC724154	-8525.732219	-8525.732219	0	Habro	Random	 protein nessun dorma 	1	1
LOC724155	-2795.874955	-2795.603201	0.543508	Habro	Random	 probable peptide chain release factor C12orf65, mitochondrial 	0.460982522676155	1
LOC724157	-4985.737317	-4985.711065	0.052504	Habro	Random	 uncharacterized LOC724157 	0.818762037588891	1
LOC724160	-9933.723978	-9933.723978	0	Habro	Random	 uncharacterized LOC724160 	1	1
LOC724161	-9359.908173	-9357.252184	5.31198	Habro	Random	 guanine nucleotide-binding protein-like 3 homolog 	0.0211792727659938	1
LOC724164	-2552.187098	-2551.35681	1.66058	Habro	Random	 39S ribosomal protein L30, mitochondrial 	0.197525031623029	1
LOC724166	-1635.278906	-1635.278906	0	Habro	Random	 intraflagellar transport protein 20 homolog 	1	1
LOC724167	-3996.000014	-3995.302394	1.39524	Habro	Random	 putative uncharacterized protein DDB_G0289263 	0.237522178432743	1
LOC724176	-4002.708239	-4000.428714	4.55905	Habro	Random	 uncharacterized LOC724176 	0.0327452321585542	1
LOC724177	-2355.872907	-2355.872907	0	Habro	Random	 uncharacterized LOC724177 	1	1
