Gene	AlnLength	Amel	Aflo	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
LOC412593	3414	32.07	32.22	34.59	34.56	46.57	40.57	34.18	34.74	44.05	39.16	34.89
LOC412596	1539	31.90	31.12	37.49	37.10	43.92	39.90	35.09	35.09	44.44	43.73	37.95
LOC412598	1206	33.17	32.67	35.90	35.74	39.22	37.81	36.65	36.98	39.72	35.32	36.24
LOC412599	990	30.91	31.31	33.03	32.83	35.76	34.65	34.75	33.13	39.39	34.95	33.13
LOC412601	1062	46.52	45.86	49.15	48.87	49.15	52.92	48.59	50.09	56.97	49.53	50.38
LOC412606	2025	24.69	25.09	29.63	29.53	45.09	31.01	27.16	29.58	37.04	29.63	28.05
LOC412607	3027	33.14	33.50	36.67	36.70	39.51	39.58	35.38	35.98	40.90	35.51	36.74
LOC412608	1275	32.94	32.47	34.59	34.67	46.43	41.25	33.80	34.51	41.65	33.73	35.84
LOC412611	1401	25.12	25.41	29.62	30.26	36.40	32.91	29.19	28.55	33.55	31.26	29.98
LOC412612	1230	36.18	36.50	40.98	41.14	49.92	44.15	39.51	42.93	47.89	41.30	40.57
LOC412613	960	33.23	32.81	37.71	37.71	40.21	39.69	34.17	38.12	42.08	38.65	38.44
LOC412616	687	34.79	34.50	36.10	35.81	36.54	36.68	34.21	35.52	43.52	37.26	36.10
LOC412617	1554	33.72	33.91	38.29	37.84	49.23	46.85	35.91	37.90	47.23	35.46	41.18
LOC412619	1539	34.57	35.15	37.17	37.23	42.50	42.04	36.19	38.01	43.01	37.82	39.38
LOC412620	1236	30.42	30.18	33.74	33.90	41.02	34.55	33.33	32.28	34.71	33.41	33.41
LOC412623	3138	38.78	39.36	41.01	40.98	47.20	39.58	41.94	43.28	43.21	41.68	43.24
LOC412624	1932	29.87	29.09	33.23	32.56	43.37	33.23	30.75	33.64	34.52	32.19	35.25
LOC412629	1905	31.39	32.02	34.91	34.91	39.27	44.04	34.07	39.32	41.84	32.13	37.27
LOC412630	1452	33.13	32.92	39.46	39.12	41.46	46.63	39.26	43.32	45.94	40.36	44.01
LOC412635	1479	29.75	29.75	34.01	33.20	45.91	35.09	32.59	33.87	36.44	34.75	33.94
LOC412636	948	32.59	32.07	34.60	34.81	41.03	39.35	32.38	35.02	36.08	37.45	34.70
LOC412637	1782	30.81	31.03	38.72	38.83	45.06	39.90	34.90	40.80	38.16	37.49	41.86
LOC412638	3273	28.44	28.51	32.94	33.18	38.92	37.92	30.55	34.25	40.30	31.41	34.98
LOC412641	2232	37.77	35.44	42.43	41.67	41.94	38.71	38.44	39.61	40.19	37.68	36.92
LOC412642	651	31.03	30.88	34.41	34.41	36.71	37.02	31.80	34.41	38.71	36.56	36.25
LOC412643	3402	32.75	33.51	38.36	37.98	43.42	41.68	36.80	39.33	45.18	39.24	41.59
LOC412644	696	29.02	30.03	33.05	32.47	38.51	34.48	30.17	31.47	37.36	31.61	30.75
LOC412646	1416	42.02	44.77	45.55	45.55	53.67	50.00	45.13	45.69	47.39	43.86	46.54
LOC412647	1071	39.78	40.71	48.27	48.37	47.43	50.42	46.87	44.07	49.58	45.85	46.78
LOC412650	3879	31.66	31.84	36.01	35.99	52.54	41.63	34.65	37.54	49.81	40.58	34.75
LOC412655	2397	37.96	38.09	43.47	43.18	52.90	48.06	40.97	43.05	52.77	43.22	42.68
LOC412661	870	33.22	32.99	36.44	36.32	37.36	36.32	35.29	35.17	37.47	35.75	35.29
LOC412662	2325	32.26	32.60	35.74	36.17	43.53	41.59	34.45	35.44	44.39	36.22	38.67
LOC412663	7905	38.36	40.10	48.22	47.02	48.92	52.07	44.01	51.49	53.55	49.53	46.72
LOC412665	1032	36.34	36.53	39.24	38.66	53.97	39.73	37.79	39.44	43.60	38.95	39.83
LOC412667	1767	41.88	43.41	51.27	51.73	52.86	52.63	50.08	54.44	55.74	55.01	54.44
LOC412670	1095	34.06	34.43	40.18	39.36	42.28	44.11	35.53	43.65	45.94	39.63	41.83
LOC412674	669	28.70	28.55	34.08	34.23	45.14	38.12	30.64	37.07	43.50	39.01	40.96
LOC412675	936	32.69	31.84	34.08	34.83	40.71	36.32	33.87	33.87	38.03	34.94	36.43
LOC412676	4248	33.55	34.09	37.01	36.96	42.75	41.71	35.31	36.21	39.10	35.45	36.51
LOC412678	915	31.48	31.48	33.33	33.77	38.80	35.74	32.13	34.54	38.14	33.33	35.74
LOC412679	1416	27.05	26.91	34.60	34.25	45.34	40.82	31.64	33.97	41.45	33.26	34.04
LOC412681	2493	34.58	34.82	38.15	38.35	43.32	41.92	38.87	40.11	49.34	38.51	40.47
LOC412687	1431	35.01	35.08	36.76	36.69	44.10	39.48	35.64	36.62	42.00	35.22	36.06
LOC412690	942	33.76	33.65	37.90	37.47	46.18	37.90	35.35	38.00	44.48	35.88	35.56
LOC412694	597	35.18	34.00	32.83	40.37	43.89	41.21	37.19	39.53	39.53	38.86	38.53
LOC412696	828	30.31	30.56	34.42	34.30	37.32	32.73	32.61	33.94	40.70	34.30	32.25
LOC412700	2205	31.38	31.61	33.83	34.51	46.03	35.06	33.74	33.24	39.00	33.92	34.29
LOC412701	11265	34.26	34.43	40.41	40.27	48.40	48.33	37.05	44.46	51.98	44.10	44.03
LOC412705	681	30.25	30.54	33.63	32.89	37.00	38.47	32.75	34.21	39.21	38.62	34.80
LOC412707	1272	32.78	33.02	37.11	36.87	41.51	40.49	35.14	36.01	44.58	39.23	37.19
LOC412708	639	27.54	27.86	32.86	33.18	36.78	34.12	30.52	31.46	37.56	29.26	31.77
LOC412710	399	30.58	31.58	33.08	32.83	36.59	35.59	32.08	33.33	39.10	32.33	35.09
LOC412711	2019	33.04	33.48	36.31	36.45	42.45	39.52	35.22	36.01	38.98	41.65	36.45
LOC412712	1713	32.17	32.11	35.26	34.97	36.25	36.84	33.86	33.74	35.90	33.68	33.98
LOC412714	1053	41.12	41.03	46.15	46.15	49.19	50.90	43.30	47.86	50.90	44.54	45.11
LOC412721	3711	31.58	31.77	34.82	34.79	42.47	41.34	33.33	35.41	40.64	35.97	35.35
LOC412722	1488	35.55	35.69	38.91	39.31	49.46	42.27	37.10	38.44	45.63	37.97	38.24
LOC412727	1794	30.43	30.66	34.28	34.23	40.75	38.80	34.00	35.40	42.75	35.84	35.06
LOC412728	1776	28.77	29.05	33.33	33.22	35.53	33.67	31.76	31.02	35.87	31.93	32.55
LOC412734	1557	29.74	28.97	33.85	33.20	34.81	35.58	32.50	34.23	36.22	32.69	34.17
LOC412735	630	38.73	39.05	48.25	48.41	50.95	48.57	44.60	46.51	52.86	45.56	48.89
LOC412739	3630	44.49	44.71	47.74	47.58	52.04	48.13	46.14	50.33	54.93	47.41	50.41
LOC412741	3285	32.15	32.57	35.98	35.89	39.63	38.05	34.25	36.80	42.56	35.56	37.38
LOC412742	2892	36.07	36.38	41.70	42.39	45.06	42.70	38.24	42.19	45.61	38.87	43.60
LOC412744	969	36.02	35.81	37.77	37.56	43.45	42.41	37.87	37.25	40.14	37.15	37.67
LOC412745	2553	26.28	26.75	30.47	30.20	38.78	33.61	29.77	30.36	34.27	28.71	31.81
LOC412746	4686	28.96	29.36	33.38	33.14	43.85	39.76	32.20	35.60	43.47	34.06	33.31
LOC412748	1416	37.36	37.43	44.35	43.71	49.44	53.32	42.87	47.32	52.26	43.50	47.88
LOC412749	1809	29.80	30.13	32.56	32.50	38.86	36.21	31.51	32.78	38.42	30.57	33.33
LOC412750	2925	31.28	31.42	34.43	34.09	40.99	37.37	33.61	33.78	39.97	33.37	34.97
LOC412751	1434	33.61	33.96	34.73	34.52	40.03	38.56	34.73	35.63	40.52	33.68	37.52
LOC412755	1278	31.38	31.30	33.26	33.57	46.24	36.31	33.26	33.96	42.57	35.05	33.96
LOC412762	1329	42.14	41.69	44.24	44.17	51.24	45.22	43.42	43.64	45.22	44.02	41.69
LOC412764	1224	50.74	50.65	48.04	47.63	50.08	53.19	50.33	48.45	52.94	49.18	46.90
LOC412767	306	40.20	38.56	41.50	40.52	46.73	47.06	44.44	45.75	50.65	41.50	44.12
LOC412769	378	39.95	40.48	44.97	44.71	46.03	45.50	44.44	44.18	50.53	44.71	45.50
LOC412770	1302	41.86	41.71	44.62	44.24	50.84	44.01	44.09	43.93	44.09	42.78	44.01
LOC412774	3585	54.53	53.70	42.68	42.59	53.97	50.10	49.74	51.10	49.34	46.86	51.94
LOC412775	11538	51.17	50.64	45.81	45.83	50.74	51.45	50.95	50.12	51.74	48.73	48.47
LOC412778	5874	47.36	46.92	47.45	47.41	46.58	54.14	48.83	48.26	55.72	48.96	49.86
LOC412782	1149	30.72	30.55	36.12	35.60	46.04	38.82	34.20	32.72	40.21	33.68	34.12
LOC412784	1371	30.49	30.71	35.08	35.45	38.80	39.02	32.53	34.35	42.09	34.21	33.33
LOC412787	1320	36.67	37.05	36.52	36.29	45.23	39.39	37.35	38.41	42.05	38.18	37.95
LOC412788	1527	35.69	35.89	39.36	39.82	44.73	47.22	39.95	43.48	46.10	40.28	43.22
LOC412795	3132	54.12	54.41	47.96	48.21	50.13	48.63	49.62	48.08	49.36	44.28	46.58
LOC412799	1497	36.94	36.27	40.81	40.55	41.62	43.29	39.81	40.41	45.16	39.55	44.56
LOC412804	1356	31.86	32.01	34.66	34.37	43.36	37.61	33.19	34.51	37.32	33.26	35.99
LOC412806	393	30.53	30.79	32.32	32.06	39.19	34.61	32.32	33.08	36.39	33.84	35.62
LOC412810	2475	47.15	45.78	44.65	44.89	47.11	43.76	45.29	43.03	44.53	46.14	50.06
LOC412815	7092	34.38	34.98	40.21	40.03	50.86	46.33	39.69	44.99	52.31	40.69	43.49
LOC412816	813	33.46	33.46	37.52	37.39	41.45	40.10	35.55	37.76	42.44	38.13	39.24
LOC412817	2964	31.85	32.12	34.99	35.16	40.42	40.11	34.38	35.96	42.04	32.49	37.11
LOC412823	2358	29.94	29.90	32.87	32.87	38.17	35.88	31.72	33.25	43.72	30.87	33.08
LOC412824	870	37.13	37.36	39.77	40.57	47.93	42.07	39.43	40.11	40.92	39.54	43.91
LOC412825	9633	51.85	50.65	47.96	47.53	51.46	48.33	51.35	48.97	51.60	55.86	52.39
LOC412832	3486	26.39	26.56	30.84	30.78	35.89	33.33	30.06	30.69	36.75	29.98	33.59
LOC412834	2802	32.26	32.16	33.94	34.44	38.94	35.15	33.05	33.44	39.29	34.55	33.51
LOC412835	69	36.23	37.68	44.93	46.38	49.28	60.87	39.13	44.93	47.83	37.68	56.52
LOC412837	945	40.21	40.53	43.70	43.17	53.12	50.48	40.42	44.23	50.16	45.19	49.10
LOC412838	2613	39.92	40.91	46.80	46.38	53.85	51.51	49.22	51.89	55.68	48.72	53.69
LOC412842	1527	41.32	41.00	45.84	46.04	50.36	51.80	45.06	48.59	48.85	48.98	43.94
LOC412843	1698	41.05	39.87	46.11	46.29	48.23	56.18	44.94	50.41	54.24	44.29	49.82
LOC412850	2460	32.32	32.11	35.93	35.98	40.53	38.21	35.20	36.87	39.67	38.37	36.14
LOC412851	942	28.56	29.19	30.25	30.68	34.29	34.39	29.83	31.53	36.41	32.27	31.53
LOC412853	2361	46.46	49.30	55.36	54.51	55.74	54.72	52.86	53.11	57.73	54.13	53.58
LOC412855	5064	47.87	48.01	47.85	47.65	53.10	52.11	48.06	50.81	54.07	48.14	52.17
LOC412858	2352	52.30	51.70	50.85	50.68	52.51	50.43	54.63	51.79	51.36	53.53	46.39
LOC412859	1362	51.54	51.84	51.32	51.40	54.48	51.32	55.43	52.86	53.89	54.63	49.19
LOC412862	1515	36.90	37.03	42.11	41.78	47.00	48.51	39.21	42.84	48.78	40.53	42.84
LOC412864	477	31.03	31.66	36.48	36.90	41.93	36.48	33.96	36.27	40.46	37.11	36.69
LOC412866	2637	35.38	35.87	38.68	38.79	51.08	40.50	38.11	39.36	43.99	38.23	38.68
LOC412868	855	32.16	32.51	34.04	34.15	36.73	35.44	32.75	34.50	35.32	32.51	34.62
LOC412870	333	29.13	29.43	31.53	31.23	36.64	31.83	30.03	31.23	35.14	29.43	31.23
LOC412876	1800	51.44	51.06	49.72	49.56	49.28	49.06	49.83	48.33	46.44	46.61	48.61
LOC412878	4293	49.57	48.26	49.22	48.89	50.22	56.02	50.97	51.36	56.81	51.90	54.51
LOC412880	1740	33.79	33.74	37.30	37.13	39.14	39.08	35.29	37.07	36.15	34.20	37.01
LOC412883	1230	52.36	54.63	48.62	48.05	50.65	53.33	53.17	50.24	54.88	57.32	54.88
LOC412885	930	46.34	45.59	47.74	47.74	49.14	54.73	46.13	52.26	56.67	45.70	52.04
LOC412888	2667	53.77	52.98	52.34	51.67	54.14	52.79	49.08	50.62	54.97	52.27	51.82
LOC412889	1218	31.53	31.61	35.22	35.30	48.44	39.00	34.07	36.04	47.54	34.65	35.06
LOC412896	789	52.60	51.71	46.39	46.26	52.72	52.60	53.61	50.70	53.36	55.51	52.22
LOC412897	1353	49.82	50.18	51.22	51.15	52.25	55.43	52.03	52.40	55.95	50.04	51.59
LOC412898	900	35.33	34.56	36.78	36.22	43.56	40.00	39.44	40.22	47.67	37.44	38.33
LOC412907	1110	58.65	56.13	49.82	49.82	55.32	53.87	55.32	53.33	56.94	55.77	53.15
LOC412913	633	29.38	28.59	34.76	33.97	37.60	35.07	31.44	32.70	38.70	34.28	33.33
LOC412916	1077	52.83	49.21	50.70	50.79	52.09	53.85	54.04	50.88	55.52	52.18	50.60
LOC412917	1437	50.66	49.13	50.24	50.31	50.24	52.96	47.88	50.52	51.36	53.38	49.62
LOC412919	774	34.75	34.75	39.41	38.63	45.22	37.98	35.66	37.60	41.60	36.95	35.92
LOC412924	1752	35.84	36.19	39.67	39.84	40.47	42.81	37.96	38.87	44.01	41.32	41.55
LOC412926	897	53.29	53.85	50.84	50.84	53.29	51.73	51.95	51.28	50.61	53.51	51.39
LOC412927	1665	47.33	45.95	44.20	44.44	48.17	45.95	46.49	50.75	48.05	49.49	48.71
LOC412928	1014	35.01	35.50	38.46	37.87	40.63	38.07	36.49	36.19	39.45	38.86	36.98
LOC412929	621	33.01	33.17	40.58	41.06	43.32	43.16	39.13	46.05	49.92	38.97	40.58
LOC412931	1515	30.89	31.62	34.85	34.46	41.06	35.38	32.94	35.84	37.76	35.18	35.38
LOC412932	1191	35.01	34.84	37.03	36.27	44.50	39.13	37.11	37.36	40.47	37.53	38.79
LOC412933	1005	34.03	33.93	38.21	37.51	45.77	36.82	35.42	37.31	42.99	41.99	36.62
LOC412941	1908	37.79	37.47	41.93	41.72	46.33	44.29	41.30	43.55	45.28	42.56	40.88
LOC412943	2043	31.33	32.31	36.03	35.93	45.62	38.72	34.26	38.28	41.95	37.25	36.71
LOC412944	3366	30.54	31.05	35.92	35.89	42.90	40.26	33.63	37.94	44.53	44.03	34.25
LOC412949	1338	45.07	42.60	44.10	44.39	46.64	51.20	48.73	47.83	54.26	47.46	45.59
LOC412950	1791	29.42	29.48	33.56	32.66	39.59	34.90	32.33	33.05	34.90	31.27	35.96
LOC412954	426	26.76	26.53	29.11	28.64	43.19	35.68	28.40	34.27	39.91	27.93	30.52
LOC412955	1389	60.62	63.57	57.02	56.44	60.98	61.99	62.85	59.47	59.97	55.51	59.68
LOC412956	1029	59.38	59.18	56.46	56.17	55.98	56.95	55.98	52.58	58.89	47.42	57.34
LOC412959	135	33.33	32.59	29.63	30.37	42.96	38.52	34.07	30.37	49.63	32.59	38.52
LOC412965	1374	43.74	44.32	50.15	49.71	54.00	54.73	47.67	51.82	57.64	57.06	53.64
LOC412966	687	36.68	37.26	41.48	40.76	47.89	46.43	37.85	42.79	54.00	45.71	44.10
LOC412972	1023	34.90	34.60	35.58	35.68	41.06	37.34	34.31	35.58	40.47	35.87	36.17
LOC412975	1470	33.13	33.33	36.87	36.46	41.77	41.09	34.56	35.31	43.67	39.73	38.44
LOC412976	1503	41.72	41.78	46.91	46.64	54.09	51.96	45.58	47.70	50.96	49.70	51.83
LOC412979	1005	32.84	32.44	36.42	36.22	46.47	37.41	36.72	40.70	45.27	39.70	38.41
LOC412984	1575	27.94	27.56	33.59	33.46	45.27	34.79	30.98	37.02	39.05	31.87	33.90
LOC412985	1503	28.68	28.54	32.93	34.46	50.37	38.46	32.07	38.46	43.65	33.27	35.73
LOC412986	1389	40.39	39.52	41.11	40.89	50.11	44.06	43.70	47.30	47.80	39.45	42.84
LOC412997	1608	40.86	39.37	40.30	40.61	47.51	44.78	41.79	43.10	53.23	42.85	42.79
LOC413000	1383	36.15	36.80	40.78	40.56	44.03	42.23	38.61	41.21	46.57	39.19	41.00
LOC413001	2373	32.07	32.20	35.61	35.69	42.69	37.04	34.30	34.81	40.58	34.26	35.95
LOC413005	954	48.11	48.32	49.16	48.74	48.74	51.89	50.94	50.94	52.52	49.69	47.80
LOC413006	1065	36.06	35.87	40.75	40.38	49.67	44.23	39.34	42.07	42.82	42.25	38.97
LOC413011	1452	30.58	30.99	35.88	36.02	41.94	38.77	33.06	34.92	39.19	38.57	35.54
LOC413012	1524	35.56	36.22	38.25	37.99	43.04	43.96	38.85	41.21	42.85	36.68	41.14
LOC413014	327	37.00	39.76	41.28	41.90	51.07	40.06	41.90	41.90	46.48	37.00	43.73
LOC413018	2448	31.66	31.62	33.66	33.95	35.78	35.70	32.68	32.60	37.17	33.01	33.21
LOC413020	990	44.55	44.95	48.18	47.37	53.94	54.14	54.65	49.70	53.43	52.42	49.49
LOC413024	1497	43.55	43.69	47.49	47.03	55.18	51.37	47.96	51.24	54.31	44.56	50.10
LOC413025	3285	43.53	42.53	45.33	44.78	53.94	56.29	43.20	48.31	54.76	44.90	54.55
LOC413029	1839	42.36	42.41	49.10	48.89	54.38	54.05	45.62	48.89	54.43	51.77	45.95
LOC413030	906	37.53	37.86	40.29	40.62	48.79	43.05	39.51	39.18	43.93	39.40	40.84
LOC413032	2982	39.47	40.04	42.89	42.99	54.23	46.28	42.42	44.47	51.24	44.23	42.72
LOC413034	2178	45.50	44.81	48.21	47.80	55.69	54.27	46.65	50.60	56.24	49.36	49.91
LOC413036	10575	32.12	32.13	35.66	35.69	50.63	39.87	34.25	37.94	42.67	37.30	37.51
LOC413040	642	56.54	56.23	54.98	54.98	57.63	54.98	56.70	57.79	55.30	57.79	53.43
LOC413043	1557	34.55	33.59	43.42	42.71	46.56	48.30	47.59	44.89	47.21	45.79	45.54
LOC413046	2145	29.04	29.79	32.35	32.45	50.44	36.64	30.77	31.98	37.62	34.13	31.61
LOC413052	3519	49.96	43.08	46.29	45.81	55.02	50.55	46.89	48.93	56.10	51.75	50.30
LOC413053	990	38.69	37.47	40.20	40.00	48.28	43.94	38.89	39.80	43.64	42.53	39.49
LOC413054	3354	54.14	51.40	44.93	44.84	57.87	50.66	50.98	48.15	55.37	54.00	54.44
LOC413055	1797	27.77	28.66	31.78	31.83	43.46	35.39	31.78	32.55	45.08	34.56	33.22
LOC413063	2493	36.10	36.18	37.63	37.71	40.35	38.03	37.55	37.34	40.31	36.66	37.06
LOC413064	2112	33.29	33.33	36.51	35.98	41.62	35.80	34.47	35.32	36.60	34.80	35.80
LOC413065	666	29.73	30.18	36.34	36.49	40.39	36.94	33.18	37.54	43.54	36.34	35.29
LOC413068	906	42.05	41.61	42.27	41.61	51.43	51.99	43.05	46.14	56.07	43.93	47.24
LOC413069	1620	33.15	33.64	37.16	36.42	45.74	39.20	33.83	35.80	43.27	36.36	36.11
LOC413071	2736	49.49	51.46	50.00	49.89	56.36	55.88	51.28	52.34	56.21	53.25	50.99
LOC413074	3537	32.71	33.19	35.45	35.54	42.38	39.98	35.26	36.44	43.94	35.31	36.47
LOC413078	966	28.05	27.64	32.30	31.68	38.10	31.06	30.64	29.50	32.92	30.95	29.09
LOC413080	1428	31.65	31.65	36.20	36.27	45.59	39.29	34.52	37.96	40.83	38.17	34.66
LOC413081	1845	37.56	38.05	39.89	40.27	48.78	44.07	39.95	41.95	44.34	42.33	42.76
LOC413086	2001	45.03	43.43	45.53	45.33	52.02	53.92	43.68	45.13	53.72	52.97	46.93
LOC413087	1683	34.46	34.46	37.49	36.78	46.46	47.83	35.65	38.09	50.98	40.58	43.97
LOC413089	1224	34.31	34.48	37.83	37.75	41.91	39.30	35.95	36.85	45.59	38.15	38.07
LOC413096	3159	34.16	32.73	36.40	36.28	47.70	42.89	35.61	37.83	48.12	38.90	41.41
LOC413099	3063	35.26	35.39	37.74	37.12	39.70	40.68	35.68	38.62	44.99	36.53	39.47
LOC413101	1317	37.21	38.27	39.10	38.95	42.52	43.28	39.03	39.03	46.32	44.87	40.93
LOC413103	1074	41.71	41.43	44.41	44.41	49.63	46.83	42.74	46.18	50.37	47.02	44.32
LOC413106	1527	44.07	43.22	46.89	47.35	53.70	52.46	51.21	49.44	53.24	51.54	52.06
LOC413110	630	32.38	32.86	35.56	35.08	40.32	39.52	36.83	35.56	42.54	41.11	34.92
LOC413113	1008	58.63	57.74	52.38	52.08	55.36	53.08	54.86	53.37	60.12	59.13	54.46
LOC413117	1362	44.79	43.32	42.07	42.66	48.97	48.24	48.60	48.09	49.19	50.29	46.11
LOC413119	1644	43.00	44.10	45.80	46.11	46.72	53.04	45.62	48.60	55.23	46.59	48.18
LOC413120	819	33.09	33.58	36.75	37.12	39.56	37.12	35.65	37.00	39.56	35.41	35.41
LOC413121	615	30.73	30.73	32.52	32.20	37.24	35.28	32.68	32.52	38.05	33.01	32.03
LOC413123	3093	36.02	35.79	36.53	36.92	45.88	41.67	37.47	39.35	43.32	38.44	38.89
LOC413125	420	59.05	58.33	57.86	57.86	59.52	60.24	62.38	61.67	59.05	59.76	55.24
LOC413126	2544	34.98	35.02	37.50	37.50	46.07	39.78	37.07	38.05	39.54	37.22	37.50
LOC413128	1854	45.79	45.52	48.38	48.65	54.42	53.88	48.98	51.40	55.50	50.54	52.32
LOC413129	1935	32.09	32.35	34.78	34.78	43.77	37.36	34.37	35.04	42.69	34.47	36.02
LOC413132	1122	33.16	33.24	36.54	36.36	46.35	39.13	36.10	37.52	39.04	35.29	38.59
LOC413133	996	39.96	39.76	43.57	43.98	50.00	48.39	42.67	44.48	46.89	44.28	45.78
LOC413134	1638	54.40	53.24	51.16	51.47	57.94	55.92	54.88	54.03	54.15	51.95	52.69
LOC413138	3090	33.46	33.92	36.80	36.25	47.83	42.20	35.57	39.06	43.11	36.54	37.64
LOC413139	1290	26.36	27.29	33.33	32.17	42.48	35.35	32.79	33.57	39.38	33.49	32.71
LOC413141	1578	40.75	40.81	45.69	46.26	54.69	52.15	45.94	50.95	57.73	46.13	51.39
LOC413142	669	34.83	35.13	35.87	35.58	45.29	39.91	35.87	37.07	42.60	36.17	36.32
LOC413144	1110	32.25	32.16	36.94	36.94	42.43	37.66	33.15	35.14	38.11	40.81	33.69
LOC413145	855	35.32	36.14	39.42	38.71	44.09	42.69	35.79	38.71	43.51	42.81	37.66
LOC413146	3297	30.66	30.76	33.64	33.82	40.34	34.73	31.24	33.30	35.67	33.79	35.06
LOC413147	1140	32.89	33.33	37.11	37.19	45.00	38.60	36.32	38.07	40.18	37.11	38.60
LOC413152	3111	36.71	36.77	43.81	43.59	47.80	43.46	41.82	44.20	49.86	42.82	41.82
LOC413153	1272	50.31	49.53	50.55	50.31	53.93	53.54	52.83	51.89	56.84	50.39	54.64
LOC413154	1962	29.36	29.77	31.70	31.50	44.24	33.13	31.14	32.01	35.32	31.96	30.53
LOC413165	675	25.78	25.48	31.56	31.56	38.67	29.63	28.15	30.67	29.63	32.30	28.44
LOC413166	1098	30.24	30.97	32.33	32.60	34.88	33.42	32.24	31.15	34.52	32.42	32.70
LOC413167	2415	33.25	32.46	36.89	36.73	44.72	42.24	35.40	37.60	48.94	36.65	40.25
LOC413169	1458	34.91	35.25	39.92	40.05	43.28	43.76	38.89	39.64	41.77	42.39	40.67
LOC413170	3603	41.08	41.24	44.99	44.52	47.52	52.15	44.44	46.49	47.99	49.01	47.38
LOC413171	6363	39.79	40.01	44.13	43.96	49.50	50.53	43.82	46.16	48.94	50.26	47.35
LOC413173	909	32.45	32.78	37.40	37.40	40.26	38.17	35.53	38.06	47.74	38.50	35.20
LOC413179	681	35.83	35.68	37.89	38.77	44.93	41.70	39.06	39.35	46.84	39.35	38.33
LOC413181	975	31.90	31.59	36.31	36.00	42.77	36.72	33.64	34.15	40.62	34.15	37.03
LOC413183	813	53.63	53.87	58.43	58.43	58.92	58.92	58.18	59.04	59.29	58.06	57.56
LOC413184	969	29.41	29.00	35.19	34.67	36.84	34.98	33.95	32.71	38.80	33.23	35.19
LOC413185	1728	41.84	40.62	45.78	45.60	50.41	51.97	47.80	48.09	51.74	46.93	46.59
LOC413186	366	39.62	40.71	46.17	46.17	51.64	50.27	45.63	48.63	46.45	46.72	51.09
LOC413189	921	30.94	31.05	33.55	33.66	39.96	38.00	32.57	36.48	44.41	32.25	34.31
LOC413190	1737	50.14	47.67	49.91	49.68	57.28	52.33	46.80	49.40	53.14	53.08	52.33
LOC413192	1089	31.50	31.22	38.38	38.48	39.21	36.09	34.07	35.90	46.37	38.02	35.08
LOC413194	963	25.96	25.65	31.46	30.84	35.31	34.06	30.01	33.13	37.49	30.94	32.29
LOC413195	4500	30.98	30.93	34.71	34.44	39.71	33.67	33.02	33.82	34.49	34.44	33.96
LOC413196	747	31.19	31.06	33.07	33.20	35.21	32.26	33.33	30.52	35.48	31.33	33.20
LOC413197	966	44.72	44.72	47.10	47.31	49.79	43.37	44.20	44.72	46.79	48.96	43.79
LOC413200	2250	44.49	45.42	50.09	49.91	50.62	52.27	50.80	51.11	52.62	48.27	50.84
LOC413204	852	42.96	44.01	43.90	44.13	46.48	52.23	44.01	47.30	53.52	51.64	48.71
LOC413205	549	40.26	42.08	44.08	44.63	42.44	45.72	38.98	45.90	45.17	50.64	44.08
LOC413207	609	47.29	45.65	51.23	50.74	55.50	55.01	51.40	53.20	56.98	51.56	52.22
LOC413208	1443	37.49	37.91	44.28	43.31	51.42	49.97	41.09	46.36	49.83	44.14	44.77
LOC413209	1599	38.71	38.21	41.59	41.09	49.53	49.34	41.59	44.47	53.16	46.09	45.97
LOC413222	1701	34.86	35.04	38.21	38.10	43.15	40.68	38.21	39.15	40.45	40.68	39.39
LOC413223	3078	37.17	37.04	39.21	39.12	41.46	41.72	38.82	38.82	42.20	39.12	39.90
LOC413224	2196	49.86	49.95	50.32	50.14	51.55	55.78	52.87	51.59	55.87	52.05	49.91
LOC413228	1476	31.44	31.57	34.21	34.15	41.53	40.85	33.20	36.86	44.78	36.18	38.69
LOC413233	1746	30.24	30.07	37.74	37.29	40.55	41.75	36.48	42.84	42.15	36.25	39.12
LOC413239	1110	33.06	32.88	35.50	35.41	42.70	38.47	35.77	35.68	43.24	35.86	37.57
LOC413240	714	32.35	32.35	35.15	35.01	44.12	36.13	33.89	35.29	41.74	35.01	35.29
LOC413242	2517	46.52	47.36	49.11	49.15	51.61	52.60	52.28	51.77	52.92	51.93	50.22
LOC413244	924	32.68	32.79	36.04	35.82	43.07	38.64	33.33	34.74	37.45	36.26	34.31
LOC413246	552	46.56	46.74	49.09	49.28	51.09	49.09	50.54	50.36	50.00	47.83	49.09
LOC413248	2913	38.93	39.20	45.62	44.94	51.87	48.71	43.53	47.61	53.59	50.53	47.13
LOC413250	1608	33.89	35.07	40.98	40.36	40.98	41.17	39.18	41.17	43.66	41.29	43.78
LOC413252	1881	34.56	34.61	39.61	39.61	48.43	45.19	38.06	42.21	50.13	40.72	39.13
LOC413253	687	35.08	34.64	38.72	39.16	47.02	38.57	36.68	37.12	48.33	41.63	36.68
LOC413255	744	29.30	29.57	32.93	33.20	36.42	35.08	30.78	30.78	35.75	31.99	31.32
LOC413259	1446	49.45	52.07	48.96	49.24	56.02	58.30	46.33	50.00	58.09	56.15	57.81
